EXT XWORLD YWORLD FLUX TEXP G BpRp VFLUX GFLUX FRAT FRATMOD TEXPRATIO
1-1.E -0.333257 -0.351931 108367.0 560.52 19.157705 2.492989 17910.418905387498 14481.939903888626 0.9948198672725687 1.2431815405059299 0.15970884178976663
1-1.E -0.305904 -0.335764 79578.6 560.52 19.48967 2.130068 13152.399364236986 10666.961827628484 1.027150870573461 1.2004111147318475 0.15970884178976663
1-1.F -0.276617 -0.383869 66154.5 560.52 19.552786 1.520679 10867.033038306003 10064.549517846557 0.9947820022168294 1.0853972755960088 0.15970884178976663
1-1.F -0.275238 -0.378433 150846.0 560.52 18.895666 2.698834 24779.092362519663 18434.965999150972 1.0687669831126823 1.2576506645916399 0.15970884178976663
1-1.F -0.249411 -0.368048 72842.5 560.52 19.581295 2.357044 11965.653947846406 9803.716430899553 0.9925632260709016 1.2296669964069398 0.15970884178976663
1-1.F -0.257675 -0.353822 111806.0 560.52 18.984587 1.522257 18366.08992405416 16985.32812086475 0.9958898185231669 1.0857540875974907 0.15970884178976663
1-1.G -0.255019 -0.324602 83387.1 560.52 19.41489 2.139294 13509.201357625338 11427.539758247965 0.983694196703716 1.2017574545683896 0.15970884178976663
1-1.G -0.265358 -0.309536 51862.4 560.52 19.916946 1.991604 8402.014274266743 7196.649322380398 0.9905074515210994 1.178678405800135 0.15970884178976663
1-1.G -0.256051 -0.306378 112128.0 560.52 18.869005 1.055504 18165.396444148 18893.253029881384 0.9910655981611484 0.9701429639797904 0.15970884178976663
1-1.G -0.277016 -0.290349 175899.0 560.52 18.659882 2.469883 28496.674061155012 22906.352566632562 1.0023753561383635 1.2411030798134894 0.15970884178976663
1-1.G -0.278256 -0.278628 55368.8 560.52 19.536167 0.744888 8970.071727282586 10219.78927278149 0.991925106370542 0.8848610774645272 0.15970884178976663
1-1.G -0.265981 -0.278806 109164.0 560.52 19.103552 1.931919 17685.21098591763 15222.56863784432 0.9942846064373182 1.1684539167521883 0.15970884178976663
1-1.H -0.300612 -0.326543 207111.0 560.52 18.200806 0.983627 33489.39178092247 34961.200813427335 1.0074064442410033 0.950859159952956 0.15970884178976663
1-1.H -0.320295 -0.303197 192856.0 560.52 18.564037 2.113338 31184.38972966952 25020.382283588566 1.0404217392688313 1.1979367559137652 0.15970884178976663
