#|   catalogue                                                 |      R2  |    COMA1 |  COMA 2 |    ELL 1 |   ELL 2 |   TREF 1 |  TREF 2 |
| C_20240701_071726_W_52148B86.VIS.bin_01_01_stars2_mom.cat    |    1.975 |   0.0307 | -0.0164 |  -0.0195 |  0.0059 |  -0.2378 |  0.0277 |
| C_20240701_073512_W_52148C08.VIS.bin_01_01_stars2_mom.cat    |    1.965 |   0.0349 | -0.0187 |  -0.0167 |  0.0068 |  -0.2352 |  0.0310 |
| C_20240701_075551_W_52148C82.VIS.bin_01_01_stars2_mom.cat    |    1.985 |   0.0372 | -0.0189 |  -0.0201 |  0.0050 |  -0.2402 |  0.0341 |
| C_20240701_075551_W_52148C82.VIS.bin_02_01_stars2_mom.cat    |    2.016 |   0.0308 | -0.0054 |  -0.0420 |  0.0159 |  -0.2304 |  0.0212 |
| C_20240701_081337_W_52148D02.VIS.bin_01_01_stars2_mom.cat    |    1.985 |   0.0339 | -0.0185 |  -0.0232 |  0.0047 |  -0.2352 |  0.0355 |
| C_20240701_081337_W_52148D02.VIS.bin_02_01_stars2_mom.cat    |    1.974 |   0.0320 | -0.0225 |  -0.0253 |  0.0017 |  -0.2354 |  0.0251 |
| C_20240701_083123_W_52148D84.VIS.bin_01_01_stars2_mom.cat    |    1.987 |   0.0320 | -0.0174 |  -0.0276 |  0.0039 |  -0.2318 |  0.0320 |
| C_20240701_084909_W_52148E00.VIS.bin_01_01_stars2_mom.cat    |    1.986 |   0.0370 | -0.0170 |  -0.0204 |  0.0050 |  -0.2424 |  0.0272 |
| C_20240701_090949_W_52148E82.VIS.bin_01_01_stars2_mom.cat    |    1.985 |   0.0319 | -0.0212 |  -0.0255 |  0.0074 |  -0.2310 |  0.0288 |
| C_20240701_090949_W_52148E82.VIS.bin_02_01_stars2_mom.cat    |    1.952 |   0.0256 | -0.0231 |  -0.0239 | -0.0010 |  -0.2306 |  0.0424 |
| C_20240701_092735_W_52148F02.VIS.bin_01_01_stars2_mom.cat    |    1.977 |   0.0311 | -0.0264 |  -0.0196 |  0.0070 |  -0.2369 |  0.0339 |
| C_20240701_092735_W_52148F02.VIS.bin_02_01_stars2_mom.cat    |    1.960 |   0.0275 | -0.0213 |  -0.0233 |  0.0006 |  -0.2336 |  0.0304 |
| C_20240701_094521_W_52148F86.VIS.bin_01_01_stars2_mom.cat    |    1.975 |   0.0292 | -0.0228 |  -0.0182 |  0.0047 |  -0.2361 |  0.0317 |
| C_20240701_100307_W_52149000.VIS.bin_01_01_stars2_mom.cat    |    1.966 |   0.0316 | -0.0188 |  -0.0177 |  0.0064 |  -0.2383 |  0.0292 |
| C_20240701_102349_W_52149082.VIS.bin_01_01_stars2_mom.cat    |    1.984 |   0.0323 | -0.0192 |  -0.0227 |  0.0059 |  -0.2349 |  0.0340 |
| C_20240701_102349_W_52149082.VIS.bin_02_01_stars2_mom.cat    |    1.974 |   0.0265 | -0.0186 |  -0.0273 |  0.0047 |  -0.2321 |  0.0384 |
| C_20240701_104135_W_52149102.VIS.bin_01_01_stars2_mom.cat    |    1.982 |   0.0361 | -0.0147 |  -0.0223 |  0.0066 |  -0.2359 |  0.0372 |
| C_20240701_104135_W_52149102.VIS.bin_02_01_stars2_mom.cat    |    1.968 |   0.0270 | -0.0159 |  -0.0189 | -0.0009 |  -0.2377 |  0.0303 |
| C_20240701_105921_W_52149184.VIS.bin_01_01_stars2_mom.cat    |    1.980 |   0.0320 | -0.0162 |  -0.0207 |  0.0072 |  -0.2364 |  0.0381 |
| C_20240701_111707_W_52149208.VIS.bin_01_01_stars2_mom.cat    |    1.980 |   0.0327 | -0.0169 |  -0.0217 |  0.0050 |  -0.2368 |  0.0327 |
| C_20240701_113745_W_52149282.VIS.bin_01_01_stars2_mom.cat    |    1.987 |   0.0345 | -0.0173 |  -0.0239 |  0.0075 |  -0.2330 |  0.0259 |
| C_20240701_113745_W_52149282.VIS.bin_02_01_stars2_mom.cat    |    1.962 |   0.0261 | -0.0168 |  -0.0244 |  0.0045 |  -0.2349 |  0.0369 |
| C_20240701_115531_W_52149302.VIS.bin_01_01_stars2_mom.cat    |    1.983 |   0.0312 | -0.0186 |  -0.0260 |  0.0053 |  -0.2315 |  0.0302 |
| C_20240701_115531_W_52149302.VIS.bin_02_01_stars2_mom.cat    |    1.952 |   0.0283 | -0.0174 |  -0.0157 |  0.0017 |  -0.2368 |  0.0378 |
| C_20240701_121317_W_52149386.VIS.bin_01_01_stars2_mom.cat    |    1.971 |   0.0345 | -0.0217 |  -0.0176 |  0.0048 |  -0.2333 |  0.0333 |
| C_20240701_123103_W_52149400.VIS.bin_01_01_stars2_mom.cat    |    1.969 |   0.0347 | -0.0154 |  -0.0182 |  0.0044 |  -0.2368 |  0.0371 |
| C_20240701_125141_W_52149482.VIS.bin_01_01_stars2_mom.cat    |    1.978 |   0.0307 | -0.0169 |  -0.0184 |  0.0043 |  -0.2394 |  0.0276 |
| C_20240701_125141_W_52149482.VIS.bin_02_01_stars2_mom.cat    |    1.962 |   0.0314 | -0.0215 |  -0.0182 | -0.0001 |  -0.2392 |  0.0222 |
| C_20240701_130927_W_52149502.VIS.bin_01_01_stars2_mom.cat    |    1.986 |   0.0320 | -0.0199 |  -0.0240 |  0.0053 |  -0.2301 |  0.0243 |
| C_20240701_130927_W_52149502.VIS.bin_02_01_stars2_mom.cat    |    1.960 |   0.0287 | -0.0191 |  -0.0176 | -0.0009 |  -0.2370 |  0.0237 |
| C_20240701_132713_W_52149584.VIS.bin_01_01_stars2_mom.cat    |    1.980 |   0.0305 | -0.0179 |  -0.0206 |  0.0051 |  -0.2349 |  0.0282 |
| C_20240701_134459_W_52149600.VIS.bin_01_01_stars2_mom.cat    |    1.991 |   0.0288 | -0.0196 |  -0.0235 |  0.0084 |  -0.2304 |  0.0255 |
| C_20240701_140537_W_52149682.VIS.bin_01_01_stars2_mom.cat    |    1.975 |   0.0359 | -0.0136 |  -0.0171 |  0.0080 |  -0.2374 |  0.0315 |
| C_20240701_140537_W_52149682.VIS.bin_02_01_stars2_mom.cat    |    1.973 |   0.0300 | -0.0188 |  -0.0150 |  0.0013 |  -0.2384 |  0.0292 |
| C_20240701_142323_W_52149702.VIS.bin_01_01_stars2_mom.cat    |    1.976 |   0.0307 | -0.0235 |  -0.0197 |  0.0046 |  -0.2330 |  0.0261 |
| C_20240701_142323_W_52149702.VIS.bin_02_01_stars2_mom.cat    |    1.968 |   0.0296 | -0.0225 |  -0.0214 |  0.0003 |  -0.2422 |  0.0236 |
| C_20240701_144109_W_52149786.VIS.bin_01_01_stars2_mom.cat    |    1.985 |   0.0332 | -0.0223 |  -0.0223 |  0.0072 |  -0.2300 |  0.0300 |
| C_20240701_145855_W_52149808.VIS.bin_01_01_stars2_mom.cat    |    1.972 |   0.0334 | -0.0191 |  -0.0192 |  0.0062 |  -0.2358 |  0.0344 |
| C_20240701_151938_W_52149882.VIS.bin_01_01_stars2_mom.cat    |    1.979 |   0.0311 | -0.0231 |  -0.0179 |  0.0053 |  -0.2429 |  0.0214 |
| C_20240701_151938_W_52149882.VIS.bin_02_01_stars2_mom.cat    |    1.965 |   0.0245 | -0.0243 |  -0.0189 |  0.0020 |  -0.2353 |  0.0289 |
| C_20240701_153724_W_52149902.VIS.bin_01_01_stars2_mom.cat    |    1.996 |   0.0332 | -0.0198 |  -0.0241 |  0.0057 |  -0.2395 |  0.0258 |
| C_20240701_153724_W_52149902.VIS.bin_02_01_stars2_mom.cat    |    2.033 |   0.0182 | -0.0037 |  -0.0349 | -0.0234 |  -0.2098 |  0.0166 |
| C_20240701_155510_W_52149984.VIS.bin_01_01_stars2_mom.cat    |    1.975 |   0.0316 | -0.0161 |  -0.0242 |  0.0045 |  -0.2340 |  0.0287 |
| C_20240701_161256_W_52149A00.VIS.bin_01_01_stars2_mom.cat    |    1.984 |   0.0315 | -0.0220 |  -0.0211 |  0.0067 |  -0.2388 |  0.0264 |
| C_20240701_163334_W_52149A82.VIS.bin_01_01_stars2_mom.cat    |    1.964 |   0.0318 | -0.0202 |  -0.0175 |  0.0052 |  -0.2368 |  0.0274 |
| C_20240701_163334_W_52149A82.VIS.bin_02_01_stars2_mom.cat    |    1.981 |   0.0332 | -0.0177 |  -0.0180 |  0.0031 |  -0.2353 |  0.0282 |
| C_20240701_165120_W_52149B02.VIS.bin_01_01_stars2_mom.cat    |    4.680 |   0.1258 | -0.0283 |   0.3191 |  0.1181 |   0.2407 | -0.0146 |
| C_20240701_165120_W_52149B02.VIS.bin_02_01_stars2_mom.cat    |    2.588 |   0.0294 |  0.0397 |  -0.0843 |  0.0441 |  -0.1532 |  0.0143 |
| C_20240701_170906_W_52149B86.VIS.bin_01_01_stars2_mom.cat    |    1.978 |   0.0322 | -0.0220 |  -0.0176 |  0.0031 |  -0.2376 |  0.0282 |
| C_20240701_172652_W_52149C08.VIS.bin_01_01_stars2_mom.cat    |    1.986 |   0.0351 | -0.0187 |  -0.0199 |  0.0054 |  -0.2379 |  0.0228 |
| C_20240701_174733_W_52149C82.VIS.bin_01_01_stars2_mom.cat    |    1.975 |   0.0307 | -0.0177 |  -0.0222 |  0.0023 |  -0.2365 |  0.0293 |
| C_20240701_174733_W_52149C82.VIS.bin_02_01_stars2_mom.cat    |    1.975 |   0.0278 | -0.0117 |  -0.0290 |  0.0092 |  -0.2366 |  0.0270 |
| C_20240701_180519_W_52149D02.VIS.bin_01_01_stars2_mom.cat    |    1.979 |   0.0315 | -0.0189 |  -0.0221 |  0.0046 |  -0.2353 |  0.0348 |
| C_20240701_180519_W_52149D02.VIS.bin_02_01_stars2_mom.cat    |    1.963 |   0.0232 | -0.0146 |  -0.0226 | -0.0000 |  -0.2363 |  0.0365 |
| C_20240701_182305_W_52149D84.VIS.bin_01_01_stars2_mom.cat    |    1.968 |   0.0316 | -0.0238 |  -0.0205 |  0.0049 |  -0.2352 |  0.0370 |
| C_20240701_184051_W_52149E00.VIS.bin_01_01_stars2_mom.cat    |    1.974 |   0.0320 | -0.0208 |  -0.0197 |  0.0063 |  -0.2380 |  0.0295 |
| C_20240701_190129_W_52149E82.VIS.bin_01_01_stars2_mom.cat    |    1.978 |   0.0353 | -0.0159 |  -0.0213 |  0.0044 |  -0.2363 |  0.0326 |
| C_20240701_190129_W_52149E82.VIS.bin_02_01_stars2_mom.cat    |    1.958 |   0.0281 | -0.0234 |  -0.0215 | -0.0016 |  -0.2355 |  0.0328 |
| C_20240701_191915_W_52149F02.VIS.bin_01_01_stars2_mom.cat    |    1.980 |   0.0321 | -0.0212 |  -0.0236 |  0.0046 |  -0.2338 |  0.0303 |
| C_20240701_191915_W_52149F02.VIS.bin_02_01_stars2_mom.cat    |    1.956 |   0.0278 | -0.0128 |  -0.0184 |  0.0020 |  -0.2348 |  0.0352 |
| C_20240701_193701_W_52149F86.VIS.bin_01_01_stars2_mom.cat    |    1.973 |   0.0311 | -0.0184 |  -0.0164 |  0.0064 |  -0.2380 |  0.0341 |
| C_20240701_195447_W_5214A008.VIS.bin_01_01_stars2_mom.cat    |    1.982 |   0.0296 | -0.0163 |  -0.0187 |  0.0019 |  -0.2371 |  0.0294 |
| C_20240701_201554_W_5214A082.VIS.bin_01_01_stars2_mom.cat    |    1.970 |   0.0326 | -0.0170 |  -0.0206 |  0.0068 |  -0.2408 |  0.0315 |
| C_20240701_201554_W_5214A082.VIS.bin_02_01_stars2_mom.cat    |    1.955 |   0.0284 | -0.0175 |  -0.0185 |  0.0014 |  -0.2390 |  0.0343 |
| C_20240701_203340_W_5214A102.VIS.bin_01_01_stars2_mom.cat    |    1.972 |   0.0333 | -0.0219 |  -0.0199 |  0.0041 |  -0.2402 |  0.0318 |
| C_20240701_203340_W_5214A102.VIS.bin_02_01_stars2_mom.cat    |    1.970 |   0.0326 | -0.0213 |  -0.0208 |  0.0026 |  -0.2375 |  0.0296 |
| C_20240701_205126_W_5214A184.VIS.bin_01_01_stars2_mom.cat    |    1.975 |   0.0335 | -0.0258 |  -0.0206 |  0.0086 |  -0.2411 |  0.0245 |
