#|   catalogue                                                 |      R2  |    COMA1 |  COMA 2 |    ELL 1 |   ELL 2 |   TREF 1 |  TREF 2 |
| C_20240704_205819_W_52151682.VIS.bin_01_01_stars2_mom.cat    |    1.979 |   0.0287 | -0.0186 |  -0.0225 |  0.0059 |  -0.2336 |  0.0305 |
| C_20240704_205819_W_52151682.VIS.bin_02_01_stars2_mom.cat    |    1.955 |   0.0294 | -0.0221 |  -0.0204 | -0.0000 |  -0.2411 |  0.0273 |
| C_20240704_211605_W_52151702.VIS.bin_01_01_stars2_mom.cat    |    1.985 |   0.0372 | -0.0194 |  -0.0184 |  0.0050 |  -0.2347 |  0.0271 |
| C_20240704_211605_W_52151702.VIS.bin_02_01_stars2_mom.cat    |    1.977 |   0.0304 | -0.0177 |  -0.0267 |  0.0007 |  -0.2322 |  0.0288 |
| C_20240704_213351_W_52151786.VIS.bin_01_01_stars2_mom.cat    |    2.031 |   0.0256 | -0.0332 |  -0.0415 |  0.0025 |  -0.2150 |  0.0405 |
| C_20240704_215137_W_52151808.VIS.bin_01_01_stars2_mom.cat    |    1.982 |   0.0311 | -0.0189 |  -0.0174 |  0.0055 |  -0.2330 |  0.0286 |
| C_20240704_221215_W_52151882.VIS.bin_01_01_stars2_mom.cat    |    1.982 |   0.0299 | -0.0196 |  -0.0205 |  0.0046 |  -0.2287 |  0.0308 |
| C_20240704_221215_W_52151882.VIS.bin_02_01_stars2_mom.cat    |    1.978 |   0.0235 | -0.0161 |  -0.0283 |  0.0063 |  -0.2274 |  0.0322 |
| C_20240704_223001_W_52151902.VIS.bin_01_01_stars2_mom.cat    |    1.985 |   0.0294 | -0.0255 |  -0.0208 |  0.0059 |  -0.2385 |  0.0340 |
| C_20240704_223001_W_52151902.VIS.bin_02_01_stars2_mom.cat    |    1.965 |   0.0277 | -0.0173 |  -0.0181 |  0.0002 |  -0.2344 |  0.0369 |
| C_20240704_224747_W_52151984.VIS.bin_01_01_stars2_mom.cat    |    1.982 |   0.0325 | -0.0229 |  -0.0170 |  0.0082 |  -0.2342 |  0.0220 |
| C_20240704_230533_W_52151A00.VIS.bin_01_01_stars2_mom.cat    |    1.980 |   0.0314 | -0.0192 |  -0.0199 |  0.0055 |  -0.2304 |  0.0289 |
| C_20240704_232611_W_52151A82.VIS.bin_01_01_stars2_mom.cat    |    1.971 |   0.0324 | -0.0157 |  -0.0197 |  0.0039 |  -0.2387 |  0.0272 |
| C_20240704_232611_W_52151A82.VIS.bin_02_01_stars2_mom.cat    |    1.992 |   0.0300 | -0.0284 |  -0.0277 |  0.0009 |  -0.2377 |  0.0254 |
| C_20240704_234357_W_52151B02.VIS.bin_01_01_stars2_mom.cat    |    1.974 |   0.0290 | -0.0231 |  -0.0168 |  0.0041 |  -0.2327 |  0.0248 |
| C_20240704_234357_W_52151B02.VIS.bin_02_01_stars2_mom.cat    |    1.976 |   0.0277 | -0.0228 |  -0.0245 |  0.0048 |  -0.2391 |  0.0220 |
| C_20240705_000143_W_52151B86.VIS.bin_01_01_stars2_mom.cat    |    1.991 |   0.0296 | -0.0169 |  -0.0266 |  0.0042 |  -0.2300 |  0.0287 |
| C_20240705_001929_W_52151C00.VIS.bin_01_01_stars2_mom.cat    |    1.979 |   0.0285 | -0.0215 |  -0.0192 |  0.0054 |  -0.2328 |  0.0264 |
| C_20240705_004007_W_52151C82.VIS.bin_01_01_stars2_mom.cat    |    1.983 |   0.0294 | -0.0220 |  -0.0225 |  0.0101 |  -0.2297 |  0.0278 |
| C_20240705_004007_W_52151C82.VIS.bin_02_01_stars2_mom.cat    |    1.960 |   0.0281 | -0.0151 |  -0.0225 |  0.0043 |  -0.2286 |  0.0285 |
| C_20240705_005753_W_52151D02.VIS.bin_01_01_stars2_mom.cat    |    1.969 |   0.0307 | -0.0236 |  -0.0192 |  0.0058 |  -0.2386 |  0.0287 |
| C_20240705_005753_W_52151D02.VIS.bin_02_01_stars2_mom.cat    |    1.980 |   0.0287 | -0.0173 |  -0.0277 |  0.0173 |  -0.2368 |  0.0297 |
| C_20240705_011539_W_52151D84.VIS.bin_01_01_stars2_mom.cat    |    1.974 |   0.0319 | -0.0186 |  -0.0190 |  0.0059 |  -0.2353 |  0.0294 |
| C_20240705_013325_W_52151E08.VIS.bin_01_01_stars2_mom.cat    |    1.976 |   0.0265 | -0.0178 |  -0.0177 |  0.0068 |  -0.2300 |  0.0289 |
| C_20240705_015408_W_52151E82.VIS.bin_01_01_stars2_mom.cat    |    1.973 |   0.0302 | -0.0150 |  -0.0181 |  0.0058 |  -0.2399 |  0.0259 |
| C_20240705_015408_W_52151E82.VIS.bin_02_01_stars2_mom.cat    |    1.968 |   0.0278 | -0.0231 |  -0.0261 | -0.0027 |  -0.2359 |  0.0261 |
| C_20240705_021154_W_52151F02.VIS.bin_01_01_stars2_mom.cat    |    1.979 |   0.0318 | -0.0183 |  -0.0220 |  0.0052 |  -0.2349 |  0.0307 |
| C_20240705_021154_W_52151F02.VIS.bin_02_01_stars2_mom.cat    |    2.007 |   0.0336 | -0.0131 |  -0.0369 |  0.0037 |  -0.2286 |  0.0253 |
| C_20240705_022940_W_52151F86.VIS.bin_01_01_stars2_mom.cat    |    1.992 |   0.0313 | -0.0182 |  -0.0257 |  0.0106 |  -0.2292 |  0.0310 |
| C_20240705_024726_W_52152000.VIS.bin_01_01_stars2_mom.cat    |    1.982 |   0.0310 | -0.0200 |  -0.0222 |  0.0065 |  -0.2326 |  0.0281 |
| C_20240705_030804_W_52152082.VIS.bin_01_01_stars2_mom.cat    |    1.983 |   0.0315 | -0.0172 |  -0.0242 |  0.0059 |  -0.2329 |  0.0257 |
| C_20240705_030804_W_52152082.VIS.bin_02_01_stars2_mom.cat    |    1.951 |   0.0280 | -0.0147 |  -0.0157 |  0.0010 |  -0.2365 |  0.0296 |
| C_20240705_032550_W_52152102.VIS.bin_01_01_stars2_mom.cat    |    1.969 |   0.0280 | -0.0195 |  -0.0182 |  0.0032 |  -0.2336 |  0.0314 |
| C_20240705_032550_W_52152102.VIS.bin_02_01_stars2_mom.cat    |    1.960 |   0.0228 | -0.0190 |  -0.0175 | -0.0012 |  -0.2315 |  0.0311 |
| C_20240705_034336_W_52152184.VIS.bin_01_01_stars2_mom.cat    |    1.975 |   0.0291 | -0.0146 |  -0.0219 |  0.0059 |  -0.2322 |  0.0330 |
| C_20240705_040122_W_52152200.VIS.bin_01_01_stars2_mom.cat    |    1.971 |   0.0278 | -0.0206 |  -0.0187 |  0.0035 |  -0.2312 |  0.0210 |
| C_20240705_042202_W_52152282.VIS.bin_01_01_stars2_mom.cat    |    1.967 |   0.0306 | -0.0187 |  -0.0171 |  0.0041 |  -0.2407 |  0.0333 |
| C_20240705_042202_W_52152282.VIS.bin_02_01_stars2_mom.cat    |    1.948 |   0.0294 | -0.0179 |  -0.0172 | -0.0015 |  -0.2397 |  0.0359 |
| C_20240705_043948_W_52152302.VIS.bin_01_01_stars2_mom.cat    |    1.980 |   0.0292 | -0.0191 |  -0.0222 |  0.0069 |  -0.2387 |  0.0287 |
| C_20240705_043948_W_52152302.VIS.bin_02_01_stars2_mom.cat    |    1.978 |   0.0273 | -0.0162 |  -0.0300 | -0.0053 |  -0.2294 |  0.0273 |
| C_20240705_045734_W_52152386.VIS.bin_01_01_stars2_mom.cat    |    1.965 |   0.0299 | -0.0199 |  -0.0166 |  0.0090 |  -0.2305 |  0.0283 |
| C_20240705_051520_W_52152408.VIS.bin_01_01_stars2_mom.cat    |    1.973 |   0.0320 | -0.0122 |  -0.0184 |  0.0059 |  -0.2350 |  0.0374 |
| C_20240705_053604_W_52152482.VIS.bin_01_01_stars2_mom.cat    |    1.978 |   0.0361 | -0.0120 |  -0.0212 |  0.0030 |  -0.2394 |  0.0294 |
| C_20240705_053604_W_52152482.VIS.bin_02_01_stars2_mom.cat    |    1.967 |   0.0281 | -0.0078 |  -0.0281 | -0.0003 |  -0.2278 |  0.0272 |
| C_20240705_055350_W_52152502.VIS.bin_01_01_stars2_mom.cat    |    1.973 |   0.0338 | -0.0197 |  -0.0172 |  0.0025 |  -0.2392 |  0.0282 |
| C_20240705_055350_W_52152502.VIS.bin_02_01_stars2_mom.cat    |    1.975 |   0.0239 | -0.0121 |  -0.0215 | -0.0008 |  -0.2315 |  0.0310 |
| C_20240705_061136_W_52152584.VIS.bin_01_01_stars2_mom.cat    |    1.982 |   0.0374 | -0.0223 |  -0.0188 |  0.0031 |  -0.2403 |  0.0305 |
| C_20240705_062922_W_52152600.VIS.bin_01_01_stars2_mom.cat    |    1.978 |   0.0321 | -0.0221 |  -0.0160 |  0.0053 |  -0.2431 |  0.0267 |
| C_20240705_065000_W_52152682.VIS.bin_01_01_stars2_mom.cat    |    1.990 |   0.0315 | -0.0226 |  -0.0221 |  0.0059 |  -0.2360 |  0.0285 |
| C_20240705_065000_W_52152682.VIS.bin_02_01_stars2_mom.cat    |    1.981 |   0.0288 | -0.0103 |  -0.0224 |  0.0022 |  -0.2355 |  0.0311 |
| C_20240705_070746_W_52152702.VIS.bin_01_01_stars2_mom.cat    |    1.985 |   0.0349 | -0.0189 |  -0.0203 |  0.0035 |  -0.2369 |  0.0274 |
| C_20240705_070746_W_52152702.VIS.bin_02_01_stars2_mom.cat    |    1.964 |   0.0278 | -0.0152 |  -0.0204 |  0.0068 |  -0.2330 |  0.0345 |
| C_20240705_072532_W_52152786.VIS.bin_01_01_stars2_mom.cat    |    1.988 |   0.0285 | -0.0166 |  -0.0211 |  0.0076 |  -0.2435 |  0.0274 |
| C_20240705_074318_W_52152808.VIS.bin_01_01_stars2_mom.cat    |    1.979 |   0.0307 | -0.0169 |  -0.0178 |  0.0059 |  -0.2386 |  0.0267 |
| C_20240705_080356_W_52152882.VIS.bin_01_01_stars2_mom.cat    |    1.989 |   0.0309 | -0.0216 |  -0.0183 |  0.0055 |  -0.2375 |  0.0245 |
| C_20240705_080356_W_52152882.VIS.bin_02_01_stars2_mom.cat    |    2.003 |   0.0308 | -0.0132 |  -0.0291 |  0.0046 |  -0.2353 |  0.0283 |
| C_20240705_082142_W_52152902.VIS.bin_01_01_stars2_mom.cat    |    1.992 |   0.0327 | -0.0225 |  -0.0216 |  0.0053 |  -0.2365 |  0.0331 |
| C_20240705_082142_W_52152902.VIS.bin_02_01_stars2_mom.cat    |    2.003 |   0.0317 | -0.0234 |  -0.0253 | -0.0010 |  -0.2343 |  0.0196 |
| C_20240705_083928_W_52152984.VIS.bin_01_01_stars2_mom.cat    |    1.984 |   0.0312 | -0.0277 |  -0.0194 |  0.0082 |  -0.2367 |  0.0284 |
| C_20240705_085714_W_52152A00.VIS.bin_01_01_stars2_mom.cat    |    2.003 |   0.0365 | -0.0201 |  -0.0226 |  0.0060 |  -0.2360 |  0.0256 |
| C_20240705_091801_W_52152A82.VIS.bin_01_01_stars2_mom.cat    |    1.995 |   0.0314 | -0.0211 |  -0.0234 |  0.0071 |  -0.2388 |  0.0259 |
| C_20240705_091801_W_52152A82.VIS.bin_02_01_stars2_mom.cat    |    1.965 |   0.0297 | -0.0279 |  -0.0224 |  0.0057 |  -0.2323 |  0.0324 |
| C_20240705_093547_W_52152B02.VIS.bin_01_01_stars2_mom.cat    |    1.981 |   0.0316 | -0.0216 |  -0.0188 |  0.0061 |  -0.2344 |  0.0330 |
| C_20240705_093547_W_52152B02.VIS.bin_02_01_stars2_mom.cat    |    1.966 |   0.0270 | -0.0228 |  -0.0259 |  0.0002 |  -0.2380 |  0.0375 |
| C_20240705_095333_W_52152B86.VIS.bin_01_01_stars2_mom.cat    |    1.998 |   0.0412 | -0.0171 |  -0.0226 |  0.0061 |  -0.2342 |  0.0279 |
| C_20240705_101119_W_52152C08.VIS.bin_01_01_stars2_mom.cat    |    2.001 |   0.0325 | -0.0201 |  -0.0255 |  0.0063 |  -0.2381 |  0.0317 |
| C_20240705_103157_W_52152C82.VIS.bin_01_01_stars2_mom.cat    |    1.966 |   0.0380 | -0.0153 |  -0.0172 |  0.0055 |  -0.2416 |  0.0300 |
| C_20240705_103157_W_52152C82.VIS.bin_02_01_stars2_mom.cat    |    1.970 |   0.0256 | -0.0172 |  -0.0244 |  0.0032 |  -0.2383 |  0.0347 |
| C_20240705_104943_W_52152D02.VIS.bin_01_01_stars2_mom.cat    |    1.977 |   0.0288 | -0.0160 |  -0.0209 |  0.0061 |  -0.2381 |  0.0232 |
| C_20240705_104943_W_52152D02.VIS.bin_02_01_stars2_mom.cat    |    1.974 |   0.0354 | -0.0154 |  -0.0165 | -0.0037 |  -0.2364 |  0.0269 |
| C_20240705_110729_W_52152D84.VIS.bin_01_01_stars2_mom.cat    |    1.970 |   0.0312 | -0.0179 |  -0.0225 |  0.0083 |  -0.2381 |  0.0355 |
| C_20240705_112515_W_52152E00.VIS.bin_01_01_stars2_mom.cat    |    1.975 |   0.0313 | -0.0202 |  -0.0217 |  0.0052 |  -0.2370 |  0.0236 |
| C_20240705_114618_W_52152E82.VIS.bin_01_01_stars2_mom.cat    |    1.988 |   0.0337 | -0.0206 |  -0.0185 |  0.0072 |  -0.2344 |  0.0251 |
| C_20240705_114618_W_52152E82.VIS.bin_02_01_stars2_mom.cat    |    1.977 |   0.0342 | -0.0247 |  -0.0234 | -0.0041 |  -0.2399 |  0.0177 |
| C_20240705_120404_W_52152F02.VIS.bin_01_01_stars2_mom.cat    |    1.959 |   0.0274 | -0.0199 |  -0.0198 |  0.0053 |  -0.2338 |  0.0350 |
| C_20240705_120404_W_52152F02.VIS.bin_02_01_stars2_mom.cat    |    1.989 |   0.0322 | -0.0201 |  -0.0245 |  0.0030 |  -0.2330 |  0.0257 |
| C_20240705_122150_W_52152F86.VIS.bin_01_01_stars2_mom.cat    |    1.956 |   0.0285 | -0.0208 |  -0.0161 |  0.0041 |  -0.2300 |  0.0243 |
| C_20240705_123936_W_52153000.VIS.bin_01_01_stars2_mom.cat    |    1.974 |   0.0331 | -0.0163 |  -0.0182 |  0.0049 |  -0.2338 |  0.0330 |
| C_20240705_130014_W_52153082.VIS.bin_01_01_stars2_mom.cat    |    1.984 |   0.0297 | -0.0247 |  -0.0208 |  0.0050 |  -0.2324 |  0.0278 |
| C_20240705_130014_W_52153082.VIS.bin_02_01_stars2_mom.cat    |    1.965 |   0.0294 | -0.0149 |  -0.0155 |  0.0009 |  -0.2354 |  0.0368 |
| C_20240705_131800_W_52153102.VIS.bin_01_01_stars2_mom.cat    |    1.979 |   0.0324 | -0.0243 |  -0.0172 |  0.0054 |  -0.2394 |  0.0201 |
| C_20240705_131800_W_52153102.VIS.bin_02_01_stars2_mom.cat    |    1.982 |   0.0327 | -0.0187 |  -0.0197 |  0.0005 |  -0.2352 |  0.0359 |
| C_20240705_133546_W_52153184.VIS.bin_01_01_stars2_mom.cat    |    1.991 |   0.0335 | -0.0219 |  -0.0159 |  0.0083 |  -0.2311 |  0.0303 |
| C_20240705_135332_W_52153208.VIS.bin_01_01_stars2_mom.cat    |    1.998 |   0.0313 | -0.0230 |  -0.0192 |  0.0050 |  -0.2351 |  0.0242 |
| C_20240705_141411_W_52153282.VIS.bin_01_01_stars2_mom.cat    |    1.979 |   0.0353 | -0.0140 |  -0.0210 |  0.0059 |  -0.2422 |  0.0207 |
| C_20240705_141411_W_52153282.VIS.bin_02_01_stars2_mom.cat    |    1.988 |   0.0288 | -0.0113 |  -0.0235 |  0.0040 |  -0.2324 |  0.0341 |
| C_20240705_143157_W_52153302.VIS.bin_01_01_stars2_mom.cat    |    1.994 |   0.0317 | -0.0198 |  -0.0232 |  0.0083 |  -0.2353 |  0.0266 |
| C_20240705_143157_W_52153302.VIS.bin_02_01_stars2_mom.cat    |    1.976 |   0.0243 | -0.0078 |  -0.0289 |  0.0061 |  -0.2269 |  0.0397 |
| C_20240705_144943_W_52153386.VIS.bin_01_01_stars2_mom.cat    |    1.970 |   0.0324 | -0.0163 |  -0.0191 |  0.0039 |  -0.2358 |  0.0237 |
| C_20240705_150729_W_52153400.VIS.bin_01_01_stars2_mom.cat    |    4.802 |   0.1156 | -0.1520 |  -0.2074 | -0.2745 |  -0.2865 |  0.0788 |
| C_20240705_152807_W_52153482.VIS.bin_01_01_stars2_mom.cat    |    1.992 |   0.0391 | -0.0236 |  -0.0205 |  0.0041 |  -0.2358 |  0.0296 |
| C_20240705_152807_W_52153482.VIS.bin_02_01_stars2_mom.cat    |    1.961 |   0.0241 | -0.0144 |  -0.0205 |  0.0049 |  -0.2296 |  0.0280 |
| C_20240705_154553_W_52153502.VIS.bin_01_01_stars2_mom.cat    |    1.992 |   0.0300 | -0.0256 |  -0.0228 |  0.0070 |  -0.2343 |  0.0247 |
| C_20240705_154553_W_52153502.VIS.bin_02_01_stars2_mom.cat    |    1.959 |   0.0276 | -0.0180 |  -0.0207 |  0.0038 |  -0.2349 |  0.0251 |
| C_20240705_160339_W_52153584.VIS.bin_01_01_stars2_mom.cat    |    1.976 |   0.0350 | -0.0196 |  -0.0170 |  0.0064 |  -0.2380 |  0.0279 |
| C_20240705_162125_W_52153600.VIS.bin_01_01_stars2_mom.cat    |    1.983 |   0.0348 | -0.0222 |  -0.0196 |  0.0065 |  -0.2381 |  0.0295 |
| C_20240705_164157_W_52153682.VIS.bin_01_01_stars2_mom.cat    |    1.980 |   0.0300 | -0.0222 |  -0.0210 |  0.0069 |  -0.2312 |  0.0297 |
| C_20240705_164157_W_52153682.VIS.bin_02_01_stars2_mom.cat    |    1.959 |   0.0258 | -0.0246 |  -0.0201 |  0.0006 |  -0.2293 |  0.0322 |
| C_20240705_165943_W_52153702.VIS.bin_01_01_stars2_mom.cat    |    2.005 |   0.0319 | -0.0268 |  -0.0298 |  0.0078 |  -0.2290 |  0.0290 |
| C_20240705_165943_W_52153702.VIS.bin_02_01_stars2_mom.cat    |    1.968 |   0.0251 | -0.0225 |  -0.0220 |  0.0091 |  -0.2284 |  0.0313 |
| C_20240705_171729_W_52153786.VIS.bin_01_01_stars2_mom.cat    |    1.984 |   0.0336 | -0.0212 |  -0.0192 |  0.0056 |  -0.2298 |  0.0328 |
| C_20240705_173515_W_52153808.VIS.bin_01_01_stars2_mom.cat    |    1.974 |   0.0273 | -0.0202 |  -0.0178 |  0.0058 |  -0.2273 |  0.0407 |
| C_20240705_175546_W_52153882.VIS.bin_01_01_stars2_mom.cat    |    1.987 |   0.0319 | -0.0207 |  -0.0204 |  0.0045 |  -0.2331 |  0.0276 |
| C_20240705_175546_W_52153882.VIS.bin_02_01_stars2_mom.cat    |    1.981 |   0.0343 | -0.0151 |  -0.0237 |  0.0037 |  -0.2403 |  0.0314 |
| C_20240705_181332_W_52153902.VIS.bin_01_01_stars2_mom.cat    |    1.988 |   0.0283 | -0.0201 |  -0.0204 |  0.0086 |  -0.2354 |  0.0259 |
| C_20240705_181332_W_52153902.VIS.bin_02_01_stars2_mom.cat    |    1.961 |   0.0330 | -0.0207 |  -0.0200 |  0.0026 |  -0.2348 |  0.0309 |
| C_20240705_183118_W_52153984.VIS.bin_01_01_stars2_mom.cat    |    1.980 |   0.0295 | -0.0225 |  -0.0195 |  0.0065 |  -0.2357 |  0.0280 |
| C_20240705_184904_W_52153A00.VIS.bin_01_01_stars2_mom.cat    |    1.990 |   0.0317 | -0.0148 |  -0.0198 |  0.0040 |  -0.2439 |  0.0266 |
| C_20240705_190938_W_52153A82.VIS.bin_01_01_stars2_mom.cat    |    1.982 |   0.0322 | -0.0174 |  -0.0218 |  0.0054 |  -0.2333 |  0.0313 |
| C_20240705_190938_W_52153A82.VIS.bin_02_01_stars2_mom.cat    |    1.961 |   0.0284 | -0.0166 |  -0.0189 | -0.0024 |  -0.2415 |  0.0318 |
| C_20240705_192724_W_52153B02.VIS.bin_01_01_stars2_mom.cat    |    1.976 |   0.0324 | -0.0079 |  -0.0183 |  0.0081 |  -0.2316 |  0.0361 |
| C_20240705_192724_W_52153B02.VIS.bin_02_01_stars2_mom.cat    |    1.995 |   0.0283 | -0.0132 |  -0.0214 |  0.0005 |  -0.2388 |  0.0350 |
| C_20240705_194510_W_52153B86.VIS.bin_01_01_stars2_mom.cat    |    1.991 |   0.0310 | -0.0141 |  -0.0173 |  0.0134 |  -0.2281 |  0.0351 |
| C_20240705_200256_W_52153C08.VIS.bin_01_01_stars2_mom.cat    |    1.975 |   0.0335 | -0.0070 |  -0.0213 |  0.0034 |  -0.2323 |  0.0384 |
| C_20240705_202326_W_52153C82.VIS.bin_01_01_stars2_mom.cat    |    1.979 |   0.0297 | -0.0111 |  -0.0206 |  0.0061 |  -0.2318 |  0.0327 |
| C_20240705_202326_W_52153C82.VIS.bin_02_01_stars2_mom.cat    |    1.965 |   0.0240 | -0.0178 |  -0.0172 |  0.0039 |  -0.2357 |  0.0297 |
| C_20240705_204112_W_52153D02.VIS.bin_01_01_stars2_mom.cat    |    1.988 |   0.0324 | -0.0186 |  -0.0203 |  0.0058 |  -0.2400 |  0.0304 |
| C_20240705_204112_W_52153D02.VIS.bin_02_01_stars2_mom.cat    |    1.990 |   0.0259 | -0.0150 |  -0.0331 |  0.0069 |  -0.2329 |  0.0267 |
| C_20240705_205858_W_52153D84.VIS.bin_01_01_stars2_mom.cat    |    1.992 |   0.0306 | -0.0202 |  -0.0228 |  0.0070 |  -0.2326 |  0.0289 |
| C_20240705_211644_W_52153E00.VIS.bin_01_01_stars2_mom.cat    |    1.992 |   0.0353 | -0.0194 |  -0.0192 |  0.0081 |  -0.2314 |  0.0291 |
| C_20240705_213719_W_52153E82.VIS.bin_01_01_stars2_mom.cat    |    1.990 |   0.0324 | -0.0097 |  -0.0233 |  0.0120 |  -0.2372 |  0.0281 |
| C_20240705_213719_W_52153E82.VIS.bin_02_01_stars2_mom.cat    |    1.947 |   0.0253 | -0.0222 |  -0.0163 |  0.0046 |  -0.2388 |  0.0163 |
| C_20240705_215505_W_52153F02.VIS.bin_01_01_stars2_mom.cat    |    1.977 |   0.0281 | -0.0217 |  -0.0232 |  0.0039 |  -0.2318 |  0.0314 |
| C_20240705_215505_W_52153F02.VIS.bin_02_01_stars2_mom.cat    |    1.967 |   0.0314 | -0.0230 |  -0.0200 |  0.0059 |  -0.2344 |  0.0293 |
| C_20240705_221251_W_52153F86.VIS.bin_01_01_stars2_mom.cat    |    1.980 |   0.0309 | -0.0159 |  -0.0185 |  0.0049 |  -0.2382 |  0.0324 |
| C_20240705_223037_W_52154008.VIS.bin_01_01_stars2_mom.cat    |    1.979 |   0.0293 | -0.0210 |  -0.0223 |  0.0088 |  -0.2314 |  0.0258 |
| C_20240705_225112_W_52154082.VIS.bin_01_01_stars2_mom.cat    |    1.977 |   0.0311 | -0.0161 |  -0.0195 |  0.0046 |  -0.2366 |  0.0234 |
| C_20240705_225112_W_52154082.VIS.bin_02_01_stars2_mom.cat    |    1.955 |   0.0340 | -0.0164 |  -0.0137 |  0.0019 |  -0.2373 |  0.0332 |
| C_20240705_230858_W_52154102.VIS.bin_01_01_stars2_mom.cat    |    1.981 |   0.0307 | -0.0216 |  -0.0176 |  0.0081 |  -0.2327 |  0.0288 |
| C_20240705_230858_W_52154102.VIS.bin_02_01_stars2_mom.cat    |    1.983 |   0.0362 | -0.0235 |  -0.0228 | -0.0021 |  -0.2462 |  0.0345 |
| C_20240705_232644_W_52154184.VIS.bin_01_01_stars2_mom.cat    |    1.984 |   0.0342 | -0.0218 |  -0.0203 |  0.0037 |  -0.2380 |  0.0262 |
| C_20240705_234430_W_52154200.VIS.bin_01_01_stars2_mom.cat    |    1.978 |   0.0332 | -0.0209 |  -0.0190 |  0.0039 |  -0.2389 |  0.0314 |
| C_20240706_000529_W_52154282.VIS.bin_01_01_stars2_mom.cat    |    1.977 |   0.0315 | -0.0120 |  -0.0206 |  0.0055 |  -0.2367 |  0.0342 |
| C_20240706_000529_W_52154282.VIS.bin_02_01_stars2_mom.cat    |    1.977 |   0.0264 | -0.0217 |  -0.0244 |  0.0014 |  -0.2411 |  0.0302 |
| C_20240706_002315_W_52154302.VIS.bin_01_01_stars2_mom.cat    |    1.978 |   0.0330 | -0.0159 |  -0.0193 |  0.0043 |  -0.2330 |  0.0320 |
| C_20240706_002315_W_52154302.VIS.bin_02_01_stars2_mom.cat    |    1.977 |   0.0281 | -0.0180 |  -0.0192 |  0.0019 |  -0.2391 |  0.0280 |
| C_20240706_004101_W_52154386.VIS.bin_01_01_stars2_mom.cat    |    1.974 |   0.0363 | -0.0210 |  -0.0183 |  0.0059 |  -0.2407 |  0.0329 |
| C_20240706_005847_W_52154400.VIS.bin_01_01_stars2_mom.cat    |    1.990 |   0.0322 | -0.0148 |  -0.0215 |  0.0061 |  -0.2301 |  0.0272 |
| C_20240706_011917_W_52154482.VIS.bin_01_01_stars2_mom.cat    |    1.977 |   0.0324 | -0.0136 |  -0.0175 |  0.0056 |  -0.2343 |  0.0352 |
| C_20240706_011917_W_52154482.VIS.bin_02_01_stars2_mom.cat    |    2.063 |   0.0231 | -0.0216 |  -0.0683 |  0.0135 |  -0.2116 |  0.0250 |
| C_20240706_013703_W_52154502.VIS.bin_01_01_stars2_mom.cat    |    1.977 |   0.0300 | -0.0189 |  -0.0177 |  0.0040 |  -0.2344 |  0.0300 |
| C_20240706_013703_W_52154502.VIS.bin_02_01_stars2_mom.cat    |    1.973 |   0.0283 | -0.0207 |  -0.0259 |  0.0033 |  -0.2316 |  0.0335 |
| C_20240706_015449_W_52154584.VIS.bin_01_01_stars2_mom.cat    |    1.991 |   0.0342 | -0.0170 |  -0.0238 |  0.0059 |  -0.2352 |  0.0290 |
| C_20240706_021235_W_52154608.VIS.bin_01_01_stars2_mom.cat    |    1.983 |   0.0337 | -0.0233 |  -0.0201 |  0.0068 |  -0.2366 |  0.0244 |
| C_20240706_023307_W_52154682.VIS.bin_01_01_stars2_mom.cat    |    1.972 |   0.0353 | -0.0336 |  -0.0196 |  0.0143 |  -0.2790 | -0.0363 |
| C_20240706_023307_W_52154682.VIS.bin_02_01_stars2_mom.cat    |    2.021 |   0.0342 | -0.0297 |  -0.0227 |  0.0003 |  -0.2683 | -0.0221 |
| C_20240706_025053_W_52154702.VIS.bin_01_01_stars2_mom.cat    |    1.962 |   0.0426 | -0.0264 |  -0.0165 |  0.0072 |  -0.2844 | -0.0337 |
| C_20240706_025053_W_52154702.VIS.bin_02_01_stars2_mom.cat    |    2.007 |   0.0332 | -0.0222 |  -0.0217 |  0.0009 |  -0.2656 | -0.0075 |
| C_20240706_030839_W_52154786.VIS.bin_01_01_stars2_mom.cat    |    1.984 |   0.0404 | -0.0194 |  -0.0210 |  0.0071 |  -0.2797 | -0.0111 |
| C_20240706_032625_W_52154800.VIS.bin_01_01_stars2_mom.cat    |    1.968 |   0.0494 | -0.0220 |  -0.0158 |  0.0033 |  -0.2788 |  0.0042 |
| C_20240706_060749_C_56154A00.VIS.bin_01_01_stars2_mom.cat    |    1.958 |   0.0307 | -0.0214 |  -0.0182 |  0.0049 |  -0.2438 |  0.0336 |
| C_20240706_061719_C_56154A80.VIS.bin_01_01_stars2_mom.cat    |    1.964 |   0.0317 | -0.0184 |  -0.0185 |  0.0066 |  -0.2395 |  0.0356 |
| C_20240706_062404_C_56154B00.VIS.bin_01_01_stars2_mom.cat    |    1.966 |   0.0311 | -0.0204 |  -0.0210 |  0.0023 |  -0.2407 |  0.0245 |
| C_20240706_063049_C_56154B80.VIS.bin_01_01_stars2_mom.cat    |    1.972 |   0.0297 | -0.0160 |  -0.0224 |  0.0044 |  -0.2409 |  0.0316 |
| C_20240706_063734_C_56154C00.VIS.bin_01_01_stars2_mom.cat    |    1.974 |   0.0346 | -0.0232 |  -0.0222 |  0.0083 |  -0.2378 |  0.0272 |
