image ; R2 ; e1 ; e2 ; score ; EASname 
C_20240701_054544_W_52148902.VIS.bin_02_01_  ;    1.989 ;  -0.0383 ;   0.0051 ;     9.03 ;  EUC_LE1_VIS-02375-1-W_20240701T054544.000000Z_02_01_01.00_EUCLIDSOC
C_20240701_060330_W_52148984.VIS.bin_01_01_  ;    2.116 ;  -0.0828 ;  -0.0162 ;   151.95 ;  EUC_LE1_VIS-02375-1-W_20240701T060330.000000Z_01_01_01.00_EUCLIDSOC
C_20240701_062116_W_52148A00.VIS.bin_01_01_  ;    1.982 ;  -0.0202 ;   0.0071 ;    22.92 ;  EUC_LE1_VIS-02375-1-W_20240701T062116.000000Z_01_01_01.00_EUCLIDSOC
C_20240701_064154_W_52148A82.VIS.bin_01_01_  ;    1.977 ;  -0.0200 ;   0.0078 ;    21.69 ;  EUC_LE1_VIS-02376-1-W_20240701T064154.000000Z_01_01_01.00_EUCLIDSOC
C_20240701_064154_W_52148A82.VIS.bin_02_01_  ;    1.986 ;  -0.0319 ;   0.0077 ;    13.12 ;  EUC_LE1_VIS-02376-1-W_20240701T064154.000000Z_02_01_01.00_EUCLIDSOC
C_20240701_065940_W_52148B02.VIS.bin_01_01_  ;    1.980 ;  -0.0197 ;   0.0049 ;    19.90 ;  EUC_LE1_VIS-02376-1-W_20240701T065940.000000Z_01_01_01.00_EUCLIDSOC
C_20240701_065940_W_52148B02.VIS.bin_02_01_  ;    1.967 ;  -0.0240 ;  -0.0016 ;    10.97 ;  EUC_LE1_VIS-02376-1-W_20240701T065940.000000Z_02_01_01.00_EUCLIDSOC
C_20240701_071726_W_52148B86.VIS.bin_01_01_  ;    1.975 ;  -0.0195 ;   0.0059 ;    18.47 ;  EUC_LE1_VIS-02376-1-W_20240701T071726.000000Z_01_01_01.00_EUCLIDSOC
C_20240701_073512_W_52148C08.VIS.bin_01_01_  ;    1.965 ;  -0.0167 ;   0.0068 ;    18.95 ;  EUC_LE1_VIS-02376-1-W_20240701T073512.000000Z_01_01_01.00_EUCLIDSOC
C_20240701_075551_W_52148C82.VIS.bin_01_01_  ;    1.985 ;  -0.0201 ;   0.0050 ;    22.25 ;  EUC_LE1_VIS-02377-1-W_20240701T075551.000000Z_01_01_01.00_EUCLIDSOC
C_20240701_075551_W_52148C82.VIS.bin_02_01_  ;    2.016 ;  -0.0420 ;   0.0159 ;    48.43 ;  EUC_LE1_VIS-02377-1-W_20240701T075551.000000Z_02_01_01.00_EUCLIDSOC
C_20240701_081337_W_52148D02.VIS.bin_01_01_  ;    1.985 ;  -0.0232 ;   0.0047 ;    17.14 ;  EUC_LE1_VIS-02377-1-W_20240701T081337.000000Z_01_01_01.00_EUCLIDSOC
C_20240701_081337_W_52148D02.VIS.bin_02_01_  ;    1.974 ;  -0.0253 ;   0.0017 ;     9.07 ;  EUC_LE1_VIS-02377-1-W_20240701T081337.000000Z_02_01_01.00_EUCLIDSOC
C_20240701_083123_W_52148D84.VIS.bin_01_01_  ;    1.987 ;  -0.0276 ;   0.0039 ;    12.39 ;  EUC_LE1_VIS-02377-1-W_20240701T083123.000000Z_01_01_01.00_EUCLIDSOC
C_20240701_084909_W_52148E00.VIS.bin_01_01_  ;    1.986 ;  -0.0204 ;   0.0050 ;    22.34 ;  EUC_LE1_VIS-02377-1-W_20240701T084909.000000Z_01_01_01.00_EUCLIDSOC
C_20240701_090949_W_52148E82.VIS.bin_01_01_  ;    1.985 ;  -0.0255 ;   0.0074 ;    17.54 ;  EUC_LE1_VIS-02378-1-W_20240701T090949.000000Z_01_01_01.00_EUCLIDSOC
C_20240701_090949_W_52148E82.VIS.bin_02_01_  ;    1.952 ;  -0.0239 ;  -0.0010 ;     5.70 ;  EUC_LE1_VIS-02378-1-W_20240701T090949.000000Z_02_01_01.00_EUCLIDSOC
C_20240701_092735_W_52148F02.VIS.bin_01_01_  ;    1.977 ;  -0.0196 ;   0.0070 ;    20.92 ;  EUC_LE1_VIS-02378-1-W_20240701T092735.000000Z_01_01_01.00_EUCLIDSOC
C_20240701_092735_W_52148F02.VIS.bin_02_01_  ;    1.960 ;  -0.0233 ;   0.0006 ;     6.55 ;  EUC_LE1_VIS-02378-1-W_20240701T092735.000000Z_02_01_01.00_EUCLIDSOC
C_20240701_094521_W_52148F86.VIS.bin_01_01_  ;    1.975 ;  -0.0182 ;   0.0047 ;    19.44 ;  EUC_LE1_VIS-02378-1-W_20240701T094521.000000Z_01_01_01.00_EUCLIDSOC
C_20240701_100307_W_52149000.VIS.bin_01_01_  ;    1.966 ;  -0.0177 ;   0.0064 ;    17.29 ;  EUC_LE1_VIS-02378-1-W_20240701T100307.000000Z_01_01_01.00_EUCLIDSOC
