image ; R2 ; e1 ; e2 ; score ; EASname 
C_20240704_013303_W_5214F702.VIS.bin_02_01_  ;    1.973 ;  -0.0248 ;   0.0025 ;     8.97 ;  EUC_LE1_VIS-02430-1-W_20240704T013303.000000Z_02_01_01.00_EUCLIDSOC
C_20240704_015049_W_5214F786.VIS.bin_01_01_  ;    1.960 ;  -0.0184 ;   0.0061 ;    13.11 ;  EUC_LE1_VIS-02430-1-W_20240704T015049.000000Z_01_01_01.00_EUCLIDSOC
C_20240704_020835_W_5214F800.VIS.bin_01_01_  ;    1.975 ;  -0.0190 ;   0.0046 ;    18.04 ;  EUC_LE1_VIS-02430-1-W_20240704T020835.000000Z_01_01_01.00_EUCLIDSOC
C_20240704_022910_W_5214F882.VIS.bin_01_01_  ;    1.993 ;  -0.0222 ;   0.0047 ;    23.34 ;  EUC_LE1_VIS-02431-1-W_20240704T022910.000000Z_01_01_01.00_EUCLIDSOC
C_20240704_022910_W_5214F882.VIS.bin_02_01_  ;    1.958 ;  -0.0231 ;  -0.0002 ;     6.85 ;  EUC_LE1_VIS-02431-1-W_20240704T022910.000000Z_02_01_01.00_EUCLIDSOC
C_20240704_024656_W_5214F902.VIS.bin_01_01_  ;    1.972 ;  -0.0157 ;   0.0072 ;    25.22 ;  EUC_LE1_VIS-02431-1-W_20240704T024656.000000Z_01_01_01.00_EUCLIDSOC
C_20240704_024656_W_5214F902.VIS.bin_02_01_  ;    1.977 ;  -0.0254 ;   0.0021 ;    10.06 ;  EUC_LE1_VIS-02431-1-W_20240704T024656.000000Z_02_01_01.00_EUCLIDSOC
C_20240704_030442_W_5214F984.VIS.bin_01_01_  ;    1.985 ;  -0.0190 ;   0.0056 ;    24.80 ;  EUC_LE1_VIS-02431-1-W_20240704T030442.000000Z_01_01_01.00_EUCLIDSOC
C_20240704_032228_W_5214FA00.VIS.bin_01_01_  ;    1.978 ;  -0.0208 ;   0.0077 ;    20.81 ;  EUC_LE1_VIS-02431-1-W_20240704T032228.000000Z_01_01_01.00_EUCLIDSOC
C_20240704_034259_W_5214FA82.VIS.bin_01_01_  ;    1.988 ;  -0.0213 ;   0.0082 ;    26.66 ;  EUC_LE1_VIS-02432-1-W_20240704T034259.000000Z_01_01_01.00_EUCLIDSOC
C_20240704_034259_W_5214FA82.VIS.bin_02_01_  ;    1.965 ;  -0.0210 ;  -0.0022 ;    14.37 ;  EUC_LE1_VIS-02432-1-W_20240704T034259.000000Z_02_01_01.00_EUCLIDSOC
C_20240704_040045_W_5214FB02.VIS.bin_01_01_  ;    1.980 ;  -0.0233 ;   0.0055 ;    15.16 ;  EUC_LE1_VIS-02432-1-W_20240704T040045.000000Z_01_01_01.00_EUCLIDSOC
C_20240704_040045_W_5214FB02.VIS.bin_02_01_  ;    1.953 ;  -0.0230 ;   0.0037 ;     4.08 ;  EUC_LE1_VIS-02432-1-W_20240704T040045.000000Z_02_01_01.00_EUCLIDSOC
C_20240704_041831_W_5214FB86.VIS.bin_01_01_  ;    1.979 ;  -0.0205 ;   0.0052 ;    18.32 ;  EUC_LE1_VIS-02432-1-W_20240704T041831.000000Z_01_01_01.00_EUCLIDSOC
C_20240704_043617_W_5214FC08.VIS.bin_01_01_  ;    1.978 ;  -0.0221 ;   0.0036 ;    14.47 ;  EUC_LE1_VIS-02432-1-W_20240704T043617.000000Z_01_01_01.00_EUCLIDSOC
C_20240704_045647_W_5214FC82.VIS.bin_01_01_  ;    1.980 ;  -0.0221 ;   0.0055 ;    16.78 ;  EUC_LE1_VIS-02433-1-W_20240704T045647.000000Z_01_01_01.00_EUCLIDSOC
C_20240704_045647_W_5214FC82.VIS.bin_02_01_  ;    1.974 ;  -0.0224 ;   0.0013 ;    12.41 ;  EUC_LE1_VIS-02433-1-W_20240704T045647.000000Z_02_01_01.00_EUCLIDSOC
C_20240704_051433_W_5214FD02.VIS.bin_01_01_  ;    1.963 ;  -0.0218 ;   0.0073 ;    12.04 ;  EUC_LE1_VIS-02433-1-W_20240704T051433.000000Z_01_01_01.00_EUCLIDSOC
C_20240704_051433_W_5214FD02.VIS.bin_02_01_  ;    1.966 ;  -0.0192 ;   0.0023 ;    12.59 ;  EUC_LE1_VIS-02433-1-W_20240704T051433.000000Z_02_01_01.00_EUCLIDSOC
C_20240704_053219_W_5214FD84.VIS.bin_01_01_  ;    1.983 ;  -0.0228 ;   0.0034 ;    16.00 ;  EUC_LE1_VIS-02433-1-W_20240704T053219.000000Z_01_01_01.00_EUCLIDSOC
C_20240704_055005_W_5214FE00.VIS.bin_01_01_  ;    1.972 ;  -0.0177 ;   0.0046 ;    18.55 ;  EUC_LE1_VIS-02433-1-W_20240704T055005.000000Z_01_01_01.00_EUCLIDSOC
C_20240704_061043_W_5214FE82.VIS.bin_01_01_  ;    1.977 ;  -0.0213 ;   0.0061 ;    17.06 ;  EUC_LE1_VIS-02434-1-W_20240704T061043.000000Z_01_01_01.00_EUCLIDSOC
C_20240704_061043_W_5214FE82.VIS.bin_02_01_  ;    1.955 ;  -0.0180 ;   0.0028 ;     9.46 ;  EUC_LE1_VIS-02434-1-W_20240704T061043.000000Z_02_01_01.00_EUCLIDSOC
C_20240704_062829_W_5214FF02.VIS.bin_01_01_  ;    1.974 ;  -0.0201 ;   0.0051 ;    16.20 ;  EUC_LE1_VIS-02434-1-W_20240704T062829.000000Z_01_01_01.00_EUCLIDSOC
C_20240704_062829_W_5214FF02.VIS.bin_02_01_  ;    1.961 ;  -0.0211 ;   0.0016 ;     8.37 ;  EUC_LE1_VIS-02434-1-W_20240704T062829.000000Z_02_01_01.00_EUCLIDSOC
C_20240704_064615_W_5214FF86.VIS.bin_01_01_  ;    1.984 ;  -0.0247 ;   0.0056 ;    15.47 ;  EUC_LE1_VIS-02434-1-W_20240704T064615.000000Z_01_01_01.00_EUCLIDSOC
C_20240704_070401_W_52150008.VIS.bin_01_01_  ;    1.979 ;  -0.0204 ;   0.0100 ;    27.24 ;  EUC_LE1_VIS-02434-1-W_20240704T070401.000000Z_01_01_01.00_EUCLIDSOC
C_20240704_072433_W_52150082.VIS.bin_01_01_  ;    1.981 ;  -0.0206 ;   0.0068 ;    21.23 ;  EUC_LE1_VIS-02435-1-W_20240704T072433.000000Z_01_01_01.00_EUCLIDSOC
C_20240704_072433_W_52150082.VIS.bin_02_01_  ;    1.964 ;  -0.0278 ;   0.0081 ;     9.37 ;  EUC_LE1_VIS-02435-1-W_20240704T072433.000000Z_02_01_01.00_EUCLIDSOC
C_20240704_074219_W_52150102.VIS.bin_01_01_  ;    1.980 ;  -0.0218 ;   0.0077 ;    20.39 ;  EUC_LE1_VIS-02435-1-W_20240704T074219.000000Z_01_01_01.00_EUCLIDSOC
C_20240704_074219_W_52150102.VIS.bin_02_01_  ;    1.960 ;  -0.0237 ;   0.0006 ;     6.23 ;  EUC_LE1_VIS-02435-1-W_20240704T074219.000000Z_02_01_01.00_EUCLIDSOC
C_20240704_080005_W_52150184.VIS.bin_01_01_  ;    1.975 ;  -0.0169 ;   0.0035 ;    21.12 ;  EUC_LE1_VIS-02435-1-W_20240704T080005.000000Z_01_01_01.00_EUCLIDSOC
C_20240704_081751_W_52150200.VIS.bin_01_01_  ;    1.986 ;  -0.0196 ;   0.0029 ;    22.79 ;  EUC_LE1_VIS-02435-1-W_20240704T081751.000000Z_01_01_01.00_EUCLIDSOC
C_20240704_083824_W_52150282.VIS.bin_01_01_  ;    1.972 ;  -0.0207 ;   0.0063 ;    15.69 ;  EUC_LE1_VIS-02436-1-W_20240704T083824.000000Z_01_01_01.00_EUCLIDSOC
C_20240704_083824_W_52150282.VIS.bin_02_01_  ;    1.936 ;  -0.0169 ;  -0.0008 ;     6.88 ;  EUC_LE1_VIS-02436-1-W_20240704T083824.000000Z_02_01_01.00_EUCLIDSOC
C_20240704_085610_W_52150302.VIS.bin_01_01_  ;    1.990 ;  -0.0235 ;   0.0075 ;    23.01 ;  EUC_LE1_VIS-02436-1-W_20240704T085610.000000Z_01_01_01.00_EUCLIDSOC
C_20240704_085610_W_52150302.VIS.bin_02_01_  ;    1.966 ;  -0.0265 ;   0.0052 ;     6.34 ;  EUC_LE1_VIS-02436-1-W_20240704T085610.000000Z_02_01_01.00_EUCLIDSOC
C_20240704_091356_W_52150386.VIS.bin_01_01_  ;    1.980 ;  -0.0218 ;   0.0080 ;    20.97 ;  EUC_LE1_VIS-02436-1-W_20240704T091356.000000Z_01_01_01.00_EUCLIDSOC
C_20240704_093142_W_52150408.VIS.bin_01_01_  ;    1.971 ;  -0.0179 ;   0.0070 ;    20.43 ;  EUC_LE1_VIS-02436-1-W_20240704T093142.000000Z_01_01_01.00_EUCLIDSOC
C_20240704_095212_W_52150482.VIS.bin_01_01_  ;    1.959 ;  -0.0151 ;   0.0068 ;    18.58 ;  EUC_LE1_VIS-02437-1-W_20240704T095212.000000Z_01_01_01.00_EUCLIDSOC
C_20240704_095212_W_52150482.VIS.bin_02_01_  ;    1.969 ;  -0.0276 ;   0.0063 ;     7.81 ;  EUC_LE1_VIS-02437-1-W_20240704T095212.000000Z_02_01_01.00_EUCLIDSOC
C_20240704_100958_W_52150502.VIS.bin_01_01_  ;    1.964 ;  -0.0176 ;   0.0036 ;    14.08 ;  EUC_LE1_VIS-02437-1-W_20240704T100958.000000Z_01_01_01.00_EUCLIDSOC
C_20240704_100958_W_52150502.VIS.bin_02_01_  ;    1.942 ;  -0.0192 ;  -0.0008 ;     6.34 ;  EUC_LE1_VIS-02437-1-W_20240704T100958.000000Z_02_01_01.00_EUCLIDSOC
C_20240704_102744_W_52150584.VIS.bin_01_01_  ;    1.967 ;  -0.0205 ;   0.0037 ;    11.45 ;  EUC_LE1_VIS-02437-1-W_20240704T102744.000000Z_01_01_01.00_EUCLIDSOC
C_20240704_104530_W_52150600.VIS.bin_01_01_  ;    1.974 ;  -0.0235 ;   0.0050 ;    11.69 ;  EUC_LE1_VIS-02437-1-W_20240704T104530.000000Z_01_01_01.00_EUCLIDSOC
C_20240704_110604_W_52150682.VIS.bin_01_01_  ;    1.971 ;  -0.0186 ;   0.0071 ;    19.47 ;  EUC_LE1_VIS-02438-1-W_20240704T110604.000000Z_01_01_01.00_EUCLIDSOC
C_20240704_110604_W_52150682.VIS.bin_02_01_  ;    1.951 ;  -0.0180 ;   0.0033 ;     8.01 ;  EUC_LE1_VIS-02438-1-W_20240704T110604.000000Z_02_01_01.00_EUCLIDSOC
C_20240704_112350_W_52150702.VIS.bin_01_01_  ;    1.969 ;  -0.0196 ;   0.0044 ;    13.93 ;  EUC_LE1_VIS-02438-1-W_20240704T112350.000000Z_01_01_01.00_EUCLIDSOC
C_20240704_112350_W_52150702.VIS.bin_02_01_  ;    1.958 ;  -0.0207 ;   0.0020 ;     7.56 ;  EUC_LE1_VIS-02438-1-W_20240704T112350.000000Z_02_01_01.00_EUCLIDSOC
C_20240704_114136_W_52150786.VIS.bin_01_01_  ;    1.980 ;  -0.0198 ;   0.0066 ;    21.66 ;  EUC_LE1_VIS-02438-1-W_20240704T114136.000000Z_01_01_01.00_EUCLIDSOC
C_20240704_115922_W_52150800.VIS.bin_01_01_  ;    1.977 ;  -0.0210 ;   0.0069 ;    18.62 ;  EUC_LE1_VIS-02438-1-W_20240704T115922.000000Z_01_01_01.00_EUCLIDSOC
C_20240704_122020_W_52150882.VIS.bin_01_01_  ;    1.970 ;  -0.0155 ;   0.0052 ;    21.82 ;  EUC_LE1_VIS-02439-1-W_20240704T122020.000000Z_01_01_01.00_EUCLIDSOC
C_20240704_122020_W_52150882.VIS.bin_02_01_  ;    1.975 ;  -0.0261 ;   0.0011 ;     9.04 ;  EUC_LE1_VIS-02439-1-W_20240704T122020.000000Z_02_01_01.00_EUCLIDSOC
C_20240704_123806_W_52150902.VIS.bin_01_01_  ;    1.971 ;  -0.0215 ;   0.0028 ;    11.79 ;  EUC_LE1_VIS-02439-1-W_20240704T123806.000000Z_01_01_01.00_EUCLIDSOC
C_20240704_123806_W_52150902.VIS.bin_02_01_  ;    1.994 ;  -0.0264 ;   0.0093 ;    25.04 ;  EUC_LE1_VIS-02439-1-W_20240704T123806.000000Z_02_01_01.00_EUCLIDSOC
C_20240704_125552_W_52150984.VIS.bin_01_01_  ;    1.991 ;  -0.0271 ;   0.0049 ;    15.44 ;  EUC_LE1_VIS-02439-1-W_20240704T125552.000000Z_01_01_01.00_EUCLIDSOC
C_20240704_131338_W_52150A08.VIS.bin_01_01_  ;    1.963 ;  -0.0178 ;   0.0065 ;    15.83 ;  EUC_LE1_VIS-02439-1-W_20240704T131338.000000Z_01_01_01.00_EUCLIDSOC
C_20240704_133409_W_52150A82.VIS.bin_01_01_  ;    1.967 ;  -0.0188 ;   0.0030 ;    13.61 ;  EUC_LE1_VIS-02440-1-W_20240704T133409.000000Z_01_01_01.00_EUCLIDSOC
C_20240704_133409_W_52150A82.VIS.bin_02_01_  ;    1.985 ;  -0.0319 ;   0.0047 ;     8.88 ;  EUC_LE1_VIS-02440-1-W_20240704T133409.000000Z_02_01_01.00_EUCLIDSOC
C_20240704_135155_W_52150B02.VIS.bin_01_01_  ;    1.971 ;  -0.0212 ;   0.0047 ;    12.90 ;  EUC_LE1_VIS-02440-1-W_20240704T135155.000000Z_01_01_01.00_EUCLIDSOC
C_20240704_135155_W_52150B02.VIS.bin_02_01_  ;    1.941 ;  -0.0202 ;   0.0030 ;     3.00 ;  EUC_LE1_VIS-02440-1-W_20240704T135155.000000Z_02_01_01.00_EUCLIDSOC
C_20240704_140941_W_52150B86.VIS.bin_01_01_  ;    1.982 ;  -0.0232 ;   0.0030 ;    14.87 ;  EUC_LE1_VIS-02440-1-W_20240704T140941.000000Z_01_01_01.00_EUCLIDSOC
C_20240704_142727_W_52150C00.VIS.bin_01_01_  ;    1.978 ;  -0.0254 ;   0.0101 ;    20.58 ;  EUC_LE1_VIS-02440-1-W_20240704T142727.000000Z_01_01_01.00_EUCLIDSOC
C_20240704_144805_W_52150C82.VIS.bin_01_01_  ;    1.978 ;  -0.0206 ;   0.0052 ;    17.63 ;  EUC_LE1_VIS-02441-1-W_20240704T144805.000000Z_01_01_01.00_EUCLIDSOC
C_20240704_144805_W_52150C82.VIS.bin_02_01_  ;    1.980 ;  -0.0196 ;   0.0090 ;    26.55 ;  EUC_LE1_VIS-02441-1-W_20240704T144805.000000Z_02_01_01.00_EUCLIDSOC
C_20240704_150551_W_52150D02.VIS.bin_01_01_  ;    1.976 ;  -0.0182 ;   0.0081 ;    24.68 ;  EUC_LE1_VIS-02441-1-W_20240704T150551.000000Z_01_01_01.00_EUCLIDSOC
C_20240704_150551_W_52150D02.VIS.bin_02_01_  ;    1.955 ;  -0.0175 ;  -0.0015 ;    13.46 ;  EUC_LE1_VIS-02441-1-W_20240704T150551.000000Z_02_01_01.00_EUCLIDSOC
C_20240704_152337_W_52150D84.VIS.bin_01_01_  ;    1.974 ;  -0.0191 ;   0.0055 ;    18.12 ;  EUC_LE1_VIS-02441-1-W_20240704T152337.000000Z_01_01_01.00_EUCLIDSOC
C_20240704_154123_W_52150E00.VIS.bin_01_01_  ;    1.975 ;  -0.0217 ;   0.0086 ;    19.85 ;  EUC_LE1_VIS-02441-1-W_20240704T154123.000000Z_01_01_01.00_EUCLIDSOC
C_20240704_160228_W_52150E82.VIS.bin_01_01_  ;    1.978 ;  -0.0172 ;   0.0052 ;    23.40 ;  EUC_LE1_VIS-02442-1-W_20240704T160228.000000Z_01_01_01.00_EUCLIDSOC
C_20240704_160228_W_52150E82.VIS.bin_02_01_  ;    1.949 ;  -0.0174 ;   0.0031 ;     7.98 ;  EUC_LE1_VIS-02442-1-W_20240704T160228.000000Z_02_01_01.00_EUCLIDSOC
C_20240704_162014_W_52150F02.VIS.bin_01_01_  ;    1.998 ;  -0.0243 ;   0.0077 ;    26.92 ;  EUC_LE1_VIS-02442-1-W_20240704T162014.000000Z_01_01_01.00_EUCLIDSOC
C_20240704_162014_W_52150F02.VIS.bin_02_01_  ;    1.983 ;  -0.0329 ;  -0.0023 ;    11.86 ;  EUC_LE1_VIS-02442-1-W_20240704T162014.000000Z_02_01_01.00_EUCLIDSOC
C_20240704_163800_W_52150F86.VIS.bin_01_01_  ;    1.985 ;  -0.0200 ;   0.0076 ;    25.90 ;  EUC_LE1_VIS-02442-1-W_20240704T163800.000000Z_01_01_01.00_EUCLIDSOC
C_20240704_165546_W_52151008.VIS.bin_01_01_  ;    1.974 ;  -0.0156 ;   0.0057 ;    24.53 ;  EUC_LE1_VIS-02442-1-W_20240704T165546.000000Z_01_01_01.00_EUCLIDSOC
C_20240704_171624_W_52151082.VIS.bin_01_01_  ;    1.984 ;  -0.0196 ;   0.0068 ;    24.65 ;  EUC_LE1_VIS-02443-1-W_20240704T171624.000000Z_01_01_01.00_EUCLIDSOC
C_20240704_171624_W_52151082.VIS.bin_02_01_  ;    1.987 ;  -0.0236 ;   0.0023 ;    16.97 ;  EUC_LE1_VIS-02443-1-W_20240704T171624.000000Z_02_01_01.00_EUCLIDSOC
C_20240704_173410_W_52151102.VIS.bin_01_01_  ;    1.977 ;  -0.0197 ;   0.0072 ;    21.09 ;  EUC_LE1_VIS-02443-1-W_20240704T173410.000000Z_01_01_01.00_EUCLIDSOC
C_20240704_173410_W_52151102.VIS.bin_02_01_  ;    1.967 ;  -0.0220 ;   0.0061 ;    11.60 ;  EUC_LE1_VIS-02443-1-W_20240704T173410.000000Z_02_01_01.00_EUCLIDSOC
C_20240704_175156_W_52151184.VIS.bin_01_01_  ;    1.975 ;  -0.0164 ;   0.0067 ;    24.90 ;  EUC_LE1_VIS-02443-1-W_20240704T175156.000000Z_01_01_01.00_EUCLIDSOC
C_20240704_180942_W_52151200.VIS.bin_01_01_  ;    1.980 ;  -0.0224 ;   0.0065 ;    17.58 ;  EUC_LE1_VIS-02443-1-W_20240704T180942.000000Z_01_01_01.00_EUCLIDSOC
C_20240704_183021_W_52151282.VIS.bin_01_01_  ;    1.967 ;  -0.0206 ;   0.0052 ;    12.29 ;  EUC_LE1_VIS-02444-1-W_20240704T183021.000000Z_01_01_01.00_EUCLIDSOC
C_20240704_183021_W_52151282.VIS.bin_02_01_  ;    1.967 ;  -0.0181 ;   0.0016 ;    14.88 ;  EUC_LE1_VIS-02444-1-W_20240704T183021.000000Z_02_01_01.00_EUCLIDSOC
C_20240704_184807_W_52151302.VIS.bin_01_01_  ;    1.974 ;  -0.0166 ;   0.0071 ;    24.55 ;  EUC_LE1_VIS-02444-1-W_20240704T184807.000000Z_01_01_01.00_EUCLIDSOC
C_20240704_184807_W_52151302.VIS.bin_02_01_  ;    1.990 ;  -0.0210 ;   0.0050 ;    23.77 ;  EUC_LE1_VIS-02444-1-W_20240704T184807.000000Z_02_01_01.00_EUCLIDSOC
C_20240704_190553_W_52151386.VIS.bin_01_01_  ;    1.980 ;  -0.0190 ;   0.0057 ;    21.86 ;  EUC_LE1_VIS-02444-1-W_20240704T190553.000000Z_01_01_01.00_EUCLIDSOC
C_20240704_192339_W_52151408.VIS.bin_01_01_  ;    1.975 ;  -0.0176 ;   0.0021 ;    19.83 ;  EUC_LE1_VIS-02444-1-W_20240704T192339.000000Z_01_01_01.00_EUCLIDSOC
C_20240704_194418_W_52151482.VIS.bin_01_01_  ;    1.971 ;  -0.0190 ;   0.0068 ;    18.38 ;  EUC_LE1_VIS-02445-1-W_20240704T194418.000000Z_01_01_01.00_EUCLIDSOC
C_20240704_194418_W_52151482.VIS.bin_02_01_  ;    1.963 ;  -0.0179 ;  -0.0015 ;    16.38 ;  EUC_LE1_VIS-02445-1-W_20240704T194418.000000Z_02_01_01.00_EUCLIDSOC
C_20240704_200204_W_52151502.VIS.bin_01_01_  ;    1.987 ;  -0.0219 ;   0.0057 ;    21.13 ;  EUC_LE1_VIS-02445-1-W_20240704T200204.000000Z_01_01_01.00_EUCLIDSOC
C_20240704_200204_W_52151502.VIS.bin_02_01_  ;    1.977 ;  -0.0217 ;   0.0001 ;    15.68 ;  EUC_LE1_VIS-02445-1-W_20240704T200204.000000Z_02_01_01.00_EUCLIDSOC
C_20240704_201950_W_52151584.VIS.bin_01_01_  ;    1.987 ;  -0.0235 ;   0.0076 ;    21.52 ;  EUC_LE1_VIS-02445-1-W_20240704T201950.000000Z_01_01_01.00_EUCLIDSOC
C_20240704_203736_W_52151600.VIS.bin_01_01_  ;    1.990 ;  -0.0230 ;   0.0040 ;    19.81 ;  EUC_LE1_VIS-02445-1-W_20240704T203736.000000Z_01_01_01.00_EUCLIDSOC
C_20240704_205819_W_52151682.VIS.bin_01_01_  ;    1.979 ;  -0.0225 ;   0.0059 ;    16.16 ;  EUC_LE1_VIS-02446-1-W_20240704T205819.000000Z_01_01_01.00_EUCLIDSOC
C_20240704_205819_W_52151682.VIS.bin_02_01_  ;    1.955 ;  -0.0204 ;  -0.0000 ;     8.12 ;  EUC_LE1_VIS-02446-1-W_20240704T205819.000000Z_02_01_01.00_EUCLIDSOC
C_20240704_211605_W_52151702.VIS.bin_01_01_  ;    1.985 ;  -0.0184 ;   0.0050 ;    25.35 ;  EUC_LE1_VIS-02446-1-W_20240704T211605.000000Z_01_01_01.00_EUCLIDSOC
C_20240704_211605_W_52151702.VIS.bin_02_01_  ;    1.977 ;  -0.0267 ;   0.0007 ;     9.56 ;  EUC_LE1_VIS-02446-1-W_20240704T211605.000000Z_02_01_01.00_EUCLIDSOC
C_20240704_213351_W_52151786.VIS.bin_01_01_  ;    2.031 ;  -0.0415 ;   0.0025 ;    22.75 ;  EUC_LE1_VIS-02446-1-W_20240704T213351.000000Z_01_01_01.00_EUCLIDSOC
C_20240704_215137_W_52151808.VIS.bin_01_01_  ;    1.982 ;  -0.0174 ;   0.0055 ;    25.82 ;  EUC_LE1_VIS-02446-1-W_20240704T215137.000000Z_01_01_01.00_EUCLIDSOC
C_20240704_221215_W_52151882.VIS.bin_01_01_  ;    1.982 ;  -0.0205 ;   0.0046 ;    19.50 ;  EUC_LE1_VIS-02447-1-W_20240704T221215.000000Z_01_01_01.00_EUCLIDSOC
C_20240704_221215_W_52151882.VIS.bin_02_01_  ;    1.978 ;  -0.0283 ;   0.0063 ;    10.29 ;  EUC_LE1_VIS-02447-1-W_20240704T221215.000000Z_02_01_01.00_EUCLIDSOC
C_20240704_223001_W_52151902.VIS.bin_01_01_  ;    1.985 ;  -0.0208 ;   0.0059 ;    21.98 ;  EUC_LE1_VIS-02447-1-W_20240704T223001.000000Z_01_01_01.00_EUCLIDSOC
C_20240704_223001_W_52151902.VIS.bin_02_01_  ;    1.965 ;  -0.0181 ;   0.0002 ;    14.88 ;  EUC_LE1_VIS-02447-1-W_20240704T223001.000000Z_02_01_01.00_EUCLIDSOC
C_20240704_224747_W_52151984.VIS.bin_01_01_  ;    1.982 ;  -0.0170 ;   0.0082 ;    30.78 ;  EUC_LE1_VIS-02447-1-W_20240704T224747.000000Z_01_01_01.00_EUCLIDSOC
C_20240704_230533_W_52151A00.VIS.bin_01_01_  ;    1.980 ;  -0.0199 ;   0.0055 ;    20.13 ;  EUC_LE1_VIS-02447-1-W_20240704T230533.000000Z_01_01_01.00_EUCLIDSOC
C_20240704_232611_W_52151A82.VIS.bin_01_01_  ;    1.971 ;  -0.0197 ;   0.0039 ;    14.49 ;  EUC_LE1_VIS-02448-1-W_20240704T232611.000000Z_01_01_01.00_EUCLIDSOC
C_20240704_232611_W_52151A82.VIS.bin_02_01_  ;    1.992 ;  -0.0277 ;   0.0009 ;    15.01 ;  EUC_LE1_VIS-02448-1-W_20240704T232611.000000Z_02_01_01.00_EUCLIDSOC
C_20240704_234357_W_52151B02.VIS.bin_01_01_  ;    1.974 ;  -0.0168 ;   0.0041 ;    20.96 ;  EUC_LE1_VIS-02448-1-W_20240704T234357.000000Z_01_01_01.00_EUCLIDSOC
C_20240704_234357_W_52151B02.VIS.bin_02_01_  ;    1.976 ;  -0.0245 ;   0.0048 ;    11.29 ;  EUC_LE1_VIS-02448-1-W_20240704T234357.000000Z_02_01_01.00_EUCLIDSOC
C_20240705_000143_W_52151B86.VIS.bin_01_01_  ;    1.991 ;  -0.0266 ;   0.0042 ;    15.54 ;  EUC_LE1_VIS-02448-1-W_20240705T000143.000000Z_01_01_01.00_EUCLIDSOC
C_20240705_001929_W_52151C00.VIS.bin_01_01_  ;    1.979 ;  -0.0192 ;   0.0054 ;    20.62 ;  EUC_LE1_VIS-02448-1-W_20240705T001929.000000Z_01_01_01.00_EUCLIDSOC
C_20240705_004007_W_52151C82.VIS.bin_01_01_  ;    1.983 ;  -0.0225 ;   0.0101 ;    26.52 ;  EUC_LE1_VIS-02449-1-W_20240705T004007.000000Z_01_01_01.00_EUCLIDSOC
C_20240705_004007_W_52151C82.VIS.bin_02_01_  ;    1.960 ;  -0.0225 ;   0.0043 ;     6.84 ;  EUC_LE1_VIS-02449-1-W_20240705T004007.000000Z_02_01_01.00_EUCLIDSOC
C_20240705_005753_W_52151D02.VIS.bin_01_01_  ;    1.969 ;  -0.0192 ;   0.0058 ;    15.74 ;  EUC_LE1_VIS-02449-1-W_20240705T005753.000000Z_01_01_01.00_EUCLIDSOC
C_20240705_005753_W_52151D02.VIS.bin_02_01_  ;    1.980 ;  -0.0277 ;   0.0173 ;    48.90 ;  EUC_LE1_VIS-02449-1-W_20240705T005753.000000Z_02_01_01.00_EUCLIDSOC
C_20240705_011539_W_52151D84.VIS.bin_01_01_  ;    1.974 ;  -0.0190 ;   0.0059 ;    18.72 ;  EUC_LE1_VIS-02449-1-W_20240705T011539.000000Z_01_01_01.00_EUCLIDSOC
C_20240705_013325_W_52151E08.VIS.bin_01_01_  ;    1.976 ;  -0.0177 ;   0.0068 ;    23.26 ;  EUC_LE1_VIS-02449-1-W_20240705T013325.000000Z_01_01_01.00_EUCLIDSOC
C_20240705_015408_W_52151E82.VIS.bin_01_01_  ;    1.973 ;  -0.0181 ;   0.0058 ;    19.53 ;  EUC_LE1_VIS-02450-1-W_20240705T015408.000000Z_01_01_01.00_EUCLIDSOC
C_20240705_015408_W_52151E82.VIS.bin_02_01_  ;    1.968 ;  -0.0261 ;  -0.0027 ;    11.62 ;  EUC_LE1_VIS-02450-1-W_20240705T015408.000000Z_02_01_01.00_EUCLIDSOC
C_20240705_021154_W_52151F02.VIS.bin_01_01_  ;    1.979 ;  -0.0220 ;   0.0052 ;    16.11 ;  EUC_LE1_VIS-02450-1-W_20240705T021154.000000Z_01_01_01.00_EUCLIDSOC
C_20240705_021154_W_52151F02.VIS.bin_02_01_  ;    2.007 ;  -0.0369 ;   0.0037 ;    14.13 ;  EUC_LE1_VIS-02450-1-W_20240705T021154.000000Z_02_01_01.00_EUCLIDSOC
C_20240705_022940_W_52151F86.VIS.bin_01_01_  ;    1.992 ;  -0.0257 ;   0.0106 ;    28.39 ;  EUC_LE1_VIS-02450-1-W_20240705T022940.000000Z_01_01_01.00_EUCLIDSOC
C_20240705_024726_W_52152000.VIS.bin_01_01_  ;    1.982 ;  -0.0222 ;   0.0065 ;    18.91 ;  EUC_LE1_VIS-02450-1-W_20240705T024726.000000Z_01_01_01.00_EUCLIDSOC
C_20240705_030804_W_52152082.VIS.bin_01_01_  ;    1.983 ;  -0.0242 ;   0.0059 ;    15.94 ;  EUC_LE1_VIS-02451-1-W_20240705T030804.000000Z_01_01_01.00_EUCLIDSOC
C_20240705_030804_W_52152082.VIS.bin_02_01_  ;    1.951 ;  -0.0157 ;   0.0010 ;    11.49 ;  EUC_LE1_VIS-02451-1-W_20240705T030804.000000Z_02_01_01.00_EUCLIDSOC
C_20240705_032550_W_52152102.VIS.bin_01_01_  ;    1.969 ;  -0.0182 ;   0.0032 ;    15.53 ;  EUC_LE1_VIS-02451-1-W_20240705T032550.000000Z_01_01_01.00_EUCLIDSOC
