image , R2 , e1 , e2 , score 
C_20240703_003705_W_5214CE82.VIS.bin_01_01_  ,    1.986 ,  -0.0210 ,   0.0081 ,    25.76
C_20240703_003705_W_5214CE82.VIS.bin_02_01_  ,    1.988 ,  -0.0284 ,  -0.0001 ,    13.31
C_20240703_005451_W_5214CF02.VIS.bin_01_01_  ,    1.982 ,  -0.0213 ,   0.0054 ,    18.92
C_20240703_005451_W_5214CF02.VIS.bin_02_01_  ,    1.960 ,  -0.0163 ,   0.0014 ,    14.36
C_20240703_011237_W_5214CF86.VIS.bin_01_01_  ,    1.987 ,  -0.0225 ,   0.0065 ,    21.21
C_20240703_013023_W_5214D000.VIS.bin_01_01_  ,    1.978 ,  -0.0177 ,   0.0055 ,    22.77
C_20240703_015101_W_5214D082.VIS.bin_01_01_  ,    1.971 ,  -0.0174 ,   0.0061 ,    19.98
C_20240703_015101_W_5214D082.VIS.bin_02_01_  ,    1.969 ,  -0.0210 ,   0.0023 ,    11.56
C_20240703_020847_W_5214D102.VIS.bin_01_01_  ,    1.984 ,  -0.0209 ,   0.0073 ,    23.26
C_20240703_020847_W_5214D102.VIS.bin_02_01_  ,    1.997 ,  -0.0268 ,   0.0012 ,    18.53
C_20240703_022633_W_5214D184.VIS.bin_01_01_  ,    1.967 ,  -0.0178 ,   0.0058 ,    16.87
C_20240703_024419_W_5214D200.VIS.bin_01_01_  ,    1.984 ,  -0.0183 ,   0.0058 ,    25.70
C_20240703_030457_W_5214D282.VIS.bin_01_01_  ,    1.978 ,  -0.0214 ,   0.0050 ,    16.27
C_20240703_030457_W_5214D282.VIS.bin_02_01_  ,    1.966 ,  -0.0197 ,  -0.0019 ,    15.90
C_20240703_032243_W_5214D302.VIS.bin_01_01_  ,    1.994 ,  -0.0250 ,   0.0071 ,    22.42
C_20240703_032243_W_5214D302.VIS.bin_02_01_  ,    1.970 ,  -0.0180 ,  -0.0025 ,    21.47
C_20240703_034029_W_5214D386.VIS.bin_01_01_  ,    1.972 ,  -0.0187 ,   0.0046 ,    16.91
C_20240703_035815_W_5214D408.VIS.bin_01_01_  ,    1.977 ,  -0.0193 ,   0.0059 ,    19.87
C_20240703_041853_W_5214D482.VIS.bin_01_01_  ,    1.990 ,  -0.0244 ,   0.0078 ,    22.26
C_20240703_041853_W_5214D482.VIS.bin_02_01_  ,    1.970 ,  -0.0151 ,  -0.0003 ,    23.16
C_20240703_043639_W_5214D502.VIS.bin_01_01_  ,    1.978 ,  -0.0213 ,   0.0081 ,    20.85
C_20240703_043639_W_5214D502.VIS.bin_02_01_  ,    1.980 ,  -0.0236 ,  -0.0019 ,    17.37
C_20240703_045425_W_5214D584.VIS.bin_01_01_  ,    1.978 ,  -0.0208 ,   0.0060 ,    18.19
C_20240703_051211_W_5214D600.VIS.bin_01_01_  ,    1.979 ,  -0.0192 ,   0.0077 ,    23.91
C_20240703_053249_W_5214D682.VIS.bin_01_01_  ,    1.983 ,  -0.0199 ,   0.0048 ,    21.23
C_20240703_053249_W_5214D682.VIS.bin_02_01_  ,    1.975 ,  -0.0325 ,  -0.0019 ,     9.13
C_20240703_055035_W_5214D702.VIS.bin_01_01_  ,    1.984 ,  -0.0210 ,   0.0052 ,    20.33
C_20240703_055035_W_5214D702.VIS.bin_02_01_  ,    1.968 ,  -0.0206 ,   0.0011 ,    12.09
C_20240703_060821_W_5214D786.VIS.bin_01_01_  ,    1.979 ,  -0.0214 ,   0.0060 ,    17.82
C_20240703_062607_W_5214D808.VIS.bin_01_01_  ,    1.984 ,  -0.0206 ,   0.0049 ,    20.72
C_20240703_064646_W_5214D882.VIS.bin_01_01_  ,    1.976 ,  -0.0218 ,   0.0044 ,    14.27
C_20240703_064646_W_5214D882.VIS.bin_02_01_  ,    2.005 ,  -0.0272 ,  -0.0015 ,    25.59
C_20240703_070432_W_5214D902.VIS.bin_01_01_  ,    1.981 ,  -0.0239 ,   0.0052 ,    14.60
C_20240703_070432_W_5214D902.VIS.bin_02_01_  ,    1.987 ,  -0.0208 ,   0.0035 ,    21.41
C_20240703_072218_W_5214D984.VIS.bin_01_01_  ,    1.969 ,  -0.0232 ,   0.0035 ,     9.09
C_20240703_074004_W_5214DA00.VIS.bin_01_01_  ,    1.967 ,  -0.0199 ,   0.0047 ,    12.78
C_20240703_080042_W_5214DA82.VIS.bin_01_01_  ,    1.987 ,  -0.0222 ,   0.0077 ,    23.64
C_20240703_080042_W_5214DA82.VIS.bin_02_01_  ,    1.950 ,  -0.0199 ,   0.0025 ,     5.61
C_20240703_081828_W_5214DB02.VIS.bin_01_01_  ,    1.994 ,  -0.0209 ,   0.0031 ,    25.60
C_20240703_081828_W_5214DB02.VIS.bin_02_01_  ,    1.939 ,  -0.0182 ,  -0.0038 ,    12.11
C_20240703_083614_W_5214DB86.VIS.bin_01_01_  ,    1.979 ,  -0.0188 ,   0.0024 ,    19.99
C_20240703_085400_W_5214DC08.VIS.bin_01_01_  ,    1.989 ,  -0.0238 ,   0.0064 ,    20.27
C_20240703_091438_W_5214DC82.VIS.bin_01_01_  ,    1.975 ,  -0.0220 ,   0.0061 ,    15.12
C_20240703_091438_W_5214DC82.VIS.bin_02_01_  ,    1.996 ,  -0.0298 ,   0.0066 ,    16.96
C_20240703_093224_W_5214DD02.VIS.bin_01_01_  ,    1.971 ,  -0.0237 ,   0.0077 ,    13.88
C_20240703_093224_W_5214DD02.VIS.bin_02_01_  ,    1.995 ,  -0.0251 ,  -0.0035 ,    26.57
C_20240703_095010_W_5214DD84.VIS.bin_01_01_  ,    1.974 ,  -0.0165 ,   0.0026 ,    21.17
C_20240703_100756_W_5214DE00.VIS.bin_01_01_  ,    1.980 ,  -0.0197 ,   0.0028 ,    19.02
C_20240703_102842_W_5214DE82.VIS.bin_01_01_  ,    1.979 ,  -0.0219 ,   0.0057 ,    16.76
C_20240703_102842_W_5214DE82.VIS.bin_02_01_  ,    1.970 ,  -0.0230 ,   0.0033 ,     9.66
C_20240703_104628_W_5214DF02.VIS.bin_01_01_  ,    1.968 ,  -0.0188 ,   0.0073 ,    17.99
C_20240703_104628_W_5214DF02.VIS.bin_02_01_  ,    1.970 ,  -0.0199 ,   0.0018 ,    13.62
C_20240703_110414_W_5214DF86.VIS.bin_01_01_  ,    1.966 ,  -0.0231 ,   0.0073 ,    11.84
C_20240703_112200_W_5214E000.VIS.bin_01_01_  ,    1.978 ,  -0.0175 ,   0.0074 ,    25.79
C_20240703_114231_W_5214E082.VIS.bin_01_01_  ,    1.987 ,  -0.0201 ,   0.0049 ,    23.40
C_20240703_114231_W_5214E082.VIS.bin_02_01_  ,    1.976 ,  -0.0217 ,   0.0008 ,    14.58
C_20240703_120017_W_5214E102.VIS.bin_01_01_  ,    2.002 ,  -0.0260 ,   0.0076 ,    26.58
C_20240703_120017_W_5214E102.VIS.bin_02_01_  ,    2.037 ,  -0.0521 ,  -0.0019 ,    28.74
C_20240703_121803_W_5214E184.VIS.bin_01_01_  ,    1.994 ,  -0.0202 ,   0.0070 ,    30.31
C_20240703_123549_W_5214E208.VIS.bin_01_01_  ,    2.002 ,  -0.0214 ,   0.0069 ,    33.43
C_20240703_125622_W_5214E282.VIS.bin_01_01_  ,    1.990 ,  -0.0209 ,   0.0044 ,    23.50
C_20240703_125622_W_5214E282.VIS.bin_02_01_  ,    1.974 ,  -0.0255 ,   0.0007 ,     9.46
C_20240703_131408_W_5214E302.VIS.bin_01_01_  ,    7.255 ,  -0.2883 ,  -0.2215 , 104343.08
C_20240703_131408_W_5214E302.VIS.bin_02_01_  ,    3.534 ,  -0.1706 ,   0.3918 , 35365.81
C_20240703_133154_W_5214E386.VIS.bin_01_01_  ,    1.984 ,  -0.0196 ,   0.0042 ,    21.96
C_20240703_134940_W_5214E400.VIS.bin_01_01_  ,    1.994 ,  -0.0240 ,   0.0064 ,    22.85
C_20240703_141010_W_5214E482.VIS.bin_01_01_  ,    1.972 ,  -0.0206 ,   0.0049 ,    14.32
C_20240703_141010_W_5214E482.VIS.bin_02_01_  ,    2.035 ,  -0.0454 ,  -0.0117 ,    62.28
C_20240703_142756_W_5214E502.VIS.bin_01_01_  ,    1.989 ,  -0.0215 ,   0.0043 ,    21.79
C_20240703_142756_W_5214E502.VIS.bin_02_01_  ,    1.997 ,  -0.0169 ,   0.0029 ,    36.15
C_20240703_144542_W_5214E584.VIS.bin_01_01_  ,    1.987 ,  -0.0176 ,   0.0087 ,    33.97
C_20240703_150328_W_5214E600.VIS.bin_01_01_  ,    1.986 ,  -0.0195 ,   0.0061 ,    25.09
C_20240703_152358_W_5214E682.VIS.bin_01_01_  ,    2.013 ,  -0.0358 ,   0.0048 ,    18.11
C_20240703_152358_W_5214E682.VIS.bin_02_01_  ,    1.961 ,  -0.0197 ,   0.0018 ,     9.90
C_20240703_154144_W_5214E702.VIS.bin_01_01_  ,    1.971 ,  -0.0198 ,   0.0087 ,    20.76
C_20240703_154144_W_5214E702.VIS.bin_02_01_  ,    1.985 ,  -0.0211 ,  -0.0014 ,    22.81
C_20240703_155930_W_5214E786.VIS.bin_01_01_  ,    1.967 ,  -0.0166 ,   0.0051 ,    18.11
C_20240703_161716_W_5214E808.VIS.bin_01_01_  ,    7.570 ,   0.0412 ,  -0.4133 , 179737.28
C_20240703_163746_W_5214E882.VIS.bin_01_01_  ,    1.985 ,  -0.0237 ,   0.0047 ,    16.45
C_20240703_163746_W_5214E882.VIS.bin_02_01_  ,    1.948 ,  -0.0200 ,   0.0062 ,     7.17
C_20240703_165532_W_5214E902.VIS.bin_01_01_  ,    1.990 ,  -0.0215 ,   0.0050 ,    22.90
C_20240703_165532_W_5214E902.VIS.bin_02_01_  ,    1.972 ,  -0.0215 ,  -0.0005 ,    14.20
C_20240703_171318_W_5214E984.VIS.bin_01_01_  ,    1.979 ,  -0.0176 ,   0.0056 ,    23.67
C_20240703_173104_W_5214EA00.VIS.bin_01_01_  ,    1.983 ,  -0.0199 ,   0.0034 ,    20.52
C_20240703_175135_W_5214EA82.VIS.bin_01_01_  ,    1.977 ,  -0.0247 ,   0.0076 ,    15.15
C_20240703_175135_W_5214EA82.VIS.bin_02_01_  ,    1.953 ,  -0.0169 ,   0.0026 ,    10.10
C_20240703_180921_W_5214EB02.VIS.bin_01_01_  ,    1.968 ,  -0.0171 ,   0.0045 ,    17.33
C_20240703_180921_W_5214EB02.VIS.bin_02_01_  ,    1.960 ,  -0.0132 ,   0.0004 ,    20.39
C_20240703_182707_W_5214EB86.VIS.bin_01_01_  ,    1.984 ,  -0.0205 ,   0.0054 ,    21.34
C_20240703_184453_W_5214EC08.VIS.bin_01_01_  ,    1.972 ,  -0.0223 ,   0.0064 ,    13.77
C_20240703_190534_W_5214EC82.VIS.bin_01_01_  ,    1.990 ,  -0.0240 ,   0.0070 ,    21.43
C_20240703_190534_W_5214EC82.VIS.bin_02_01_  ,    1.944 ,  -0.0165 ,   0.0018 ,     7.46
C_20240703_192320_W_5214ED02.VIS.bin_01_01_  ,    1.997 ,  -0.0265 ,   0.0079 ,    23.49
C_20240703_192320_W_5214ED02.VIS.bin_02_01_  ,    1.967 ,  -0.0237 ,   0.0021 ,     7.80
C_20240703_194106_W_5214ED84.VIS.bin_01_01_  ,    1.989 ,  -0.0253 ,   0.0063 ,    18.10
C_20240703_195852_W_5214EE00.VIS.bin_01_01_  ,    1.973 ,  -0.0191 ,   0.0066 ,    18.96
C_20240703_201922_W_5214EE82.VIS.bin_01_01_  ,    1.984 ,  -0.0204 ,   0.0043 ,    20.64
C_20240703_201922_W_5214EE82.VIS.bin_02_01_  ,    1.982 ,  -0.0195 ,   0.0029 ,    20.53
C_20240703_203708_W_5214EF02.VIS.bin_01_01_  ,    1.987 ,  -0.0211 ,   0.0047 ,    21.51
C_20240703_203708_W_5214EF02.VIS.bin_02_01_  ,    1.980 ,  -0.0182 ,   0.0028 ,    21.63
C_20240703_205454_W_5214EF86.VIS.bin_01_01_  ,    1.982 ,  -0.0241 ,   0.0067 ,    16.64
C_20240703_211240_W_5214F008.VIS.bin_01_01_  ,    1.982 ,  -0.0230 ,   0.0062 ,    17.38
C_20240703_213311_W_5214F082.VIS.bin_01_01_  ,    1.977 ,  -0.0215 ,   0.0063 ,    17.04
C_20240703_213311_W_5214F082.VIS.bin_02_01_  ,    1.970 ,  -0.0312 ,   0.0019 ,     4.37
C_20240703_215057_W_5214F102.VIS.bin_01_01_  ,    1.963 ,  -0.0197 ,   0.0063 ,    12.95
C_20240703_215057_W_5214F102.VIS.bin_02_01_  ,    2.684 ,   0.1763 ,  -0.0164 ,  8158.80
C_20240703_220843_W_5214F184.VIS.bin_01_01_  ,    1.988 ,  -0.0237 ,   0.0033 ,    17.40
C_20240703_222629_W_5214F200.VIS.bin_01_01_  ,    1.975 ,  -0.0196 ,   0.0076 ,    20.87
C_20240703_224706_W_5214F282.VIS.bin_01_01_  ,    1.979 ,  -0.0205 ,   0.0055 ,    18.61
C_20240703_224706_W_5214F282.VIS.bin_02_01_  ,    2.006 ,  -0.0297 ,   0.0163 ,    54.02
C_20240703_230452_W_5214F302.VIS.bin_01_01_  ,    1.982 ,  -0.0194 ,   0.0042 ,    21.10
C_20240703_230452_W_5214F302.VIS.bin_02_01_  ,    1.962 ,  -0.0240 ,   0.0018 ,     5.92
C_20240703_232238_W_5214F386.VIS.bin_01_01_  ,    1.967 ,  -0.0188 ,   0.0061 ,    15.72
C_20240703_234024_W_5214F400.VIS.bin_01_01_  ,    1.976 ,  -0.0186 ,   0.0082 ,    24.20
C_20240704_000123_W_5214F482.VIS.bin_01_01_  ,    1.975 ,  -0.0205 ,   0.0063 ,    17.46
C_20240704_000123_W_5214F482.VIS.bin_02_01_  ,    1.952 ,  -0.0224 ,   0.0113 ,    17.83
C_20240704_001909_W_5214F502.VIS.bin_01_01_  ,    1.989 ,  -0.0252 ,   0.0059 ,    17.72
C_20240704_001909_W_5214F502.VIS.bin_02_01_  ,    1.984 ,  -0.0268 ,  -0.0003 ,    13.31
C_20240704_003655_W_5214F584.VIS.bin_01_01_  ,    1.972 ,  -0.0199 ,   0.0051 ,    15.49
C_20240704_005441_W_5214F608.VIS.bin_01_01_  ,    2.000 ,  -0.0296 ,   0.0109 ,    28.87
C_20240704_011517_W_5214F682.VIS.bin_01_01_  ,    1.985 ,  -0.0299 ,   0.0072 ,    13.09
C_20240704_011517_W_5214F682.VIS.bin_02_01_  ,    1.947 ,  -0.0189 ,   0.0018 ,     5.82
C_20240704_013303_W_5214F702.VIS.bin_01_01_  ,    1.976 ,  -0.0198 ,   0.0052 ,    17.79
C_20240704_013303_W_5214F702.VIS.bin_02_01_  ,    1.973 ,  -0.0248 ,   0.0025 ,     8.97
C_20240704_015049_W_5214F786.VIS.bin_01_01_  ,    1.960 ,  -0.0184 ,   0.0061 ,    13.11
C_20240704_020835_W_5214F800.VIS.bin_01_01_  ,    1.975 ,  -0.0190 ,   0.0046 ,    18.04
C_20240704_022910_W_5214F882.VIS.bin_01_01_  ,    1.993 ,  -0.0222 ,   0.0047 ,    23.34
C_20240704_022910_W_5214F882.VIS.bin_02_01_  ,    1.958 ,  -0.0231 ,  -0.0002 ,     6.85
C_20240704_024656_W_5214F902.VIS.bin_01_01_  ,    1.972 ,  -0.0157 ,   0.0072 ,    25.22
C_20240704_024656_W_5214F902.VIS.bin_02_01_  ,    1.977 ,  -0.0254 ,   0.0021 ,    10.06
C_20240704_030442_W_5214F984.VIS.bin_01_01_  ,    1.985 ,  -0.0190 ,   0.0056 ,    24.80
C_20240704_032228_W_5214FA00.VIS.bin_01_01_  ,    1.978 ,  -0.0208 ,   0.0077 ,    20.81
C_20240704_034259_W_5214FA82.VIS.bin_01_01_  ,    1.988 ,  -0.0213 ,   0.0082 ,    26.66
C_20240704_034259_W_5214FA82.VIS.bin_02_01_  ,    1.965 ,  -0.0210 ,  -0.0022 ,    14.37
C_20240704_040045_W_5214FB02.VIS.bin_01_01_  ,    1.980 ,  -0.0233 ,   0.0055 ,    15.16
C_20240704_040045_W_5214FB02.VIS.bin_02_01_  ,    1.953 ,  -0.0230 ,   0.0037 ,     4.08
C_20240704_041831_W_5214FB86.VIS.bin_01_01_  ,    1.979 ,  -0.0205 ,   0.0052 ,    18.32
C_20240704_043617_W_5214FC08.VIS.bin_01_01_  ,    1.978 ,  -0.0221 ,   0.0036 ,    14.47
C_20240704_045647_W_5214FC82.VIS.bin_01_01_  ,    1.980 ,  -0.0221 ,   0.0055 ,    16.78
C_20240704_045647_W_5214FC82.VIS.bin_02_01_  ,    1.974 ,  -0.0224 ,   0.0013 ,    12.41
C_20240704_051433_W_5214FD02.VIS.bin_01_01_  ,    1.963 ,  -0.0218 ,   0.0073 ,    12.04
C_20240704_051433_W_5214FD02.VIS.bin_02_01_  ,    1.966 ,  -0.0192 ,   0.0023 ,    12.59
C_20240704_053219_W_5214FD84.VIS.bin_01_01_  ,    1.983 ,  -0.0228 ,   0.0034 ,    16.00
C_20240704_055005_W_5214FE00.VIS.bin_01_01_  ,    1.972 ,  -0.0177 ,   0.0046 ,    18.55
C_20240704_061043_W_5214FE82.VIS.bin_01_01_  ,    1.977 ,  -0.0213 ,   0.0061 ,    17.06
C_20240704_061043_W_5214FE82.VIS.bin_02_01_  ,    1.955 ,  -0.0180 ,   0.0028 ,     9.46
C_20240704_062829_W_5214FF02.VIS.bin_01_01_  ,    1.974 ,  -0.0201 ,   0.0051 ,    16.20
C_20240704_062829_W_5214FF02.VIS.bin_02_01_  ,    1.961 ,  -0.0211 ,   0.0016 ,     8.37
C_20240704_064615_W_5214FF86.VIS.bin_01_01_  ,    1.984 ,  -0.0247 ,   0.0056 ,    15.47
C_20240704_070401_W_52150008.VIS.bin_01_01_  ,    1.979 ,  -0.0204 ,   0.0100 ,    27.24
C_20240704_072433_W_52150082.VIS.bin_01_01_  ,    1.981 ,  -0.0206 ,   0.0068 ,    21.23
C_20240704_072433_W_52150082.VIS.bin_02_01_  ,    1.964 ,  -0.0278 ,   0.0081 ,     9.37
C_20240704_074219_W_52150102.VIS.bin_01_01_  ,    1.980 ,  -0.0218 ,   0.0077 ,    20.39
C_20240704_074219_W_52150102.VIS.bin_02_01_  ,    1.960 ,  -0.0237 ,   0.0006 ,     6.23
C_20240704_080005_W_52150184.VIS.bin_01_01_  ,    1.975 ,  -0.0169 ,   0.0035 ,    21.12
C_20240704_081751_W_52150200.VIS.bin_01_01_  ,    1.986 ,  -0.0196 ,   0.0029 ,    22.79
C_20240704_083824_W_52150282.VIS.bin_01_01_  ,    1.972 ,  -0.0207 ,   0.0063 ,    15.69
C_20240704_083824_W_52150282.VIS.bin_02_01_  ,    1.936 ,  -0.0169 ,  -0.0008 ,     6.88
C_20240704_085610_W_52150302.VIS.bin_01_01_  ,    1.990 ,  -0.0235 ,   0.0075 ,    23.01
C_20240704_085610_W_52150302.VIS.bin_02_01_  ,    1.966 ,  -0.0265 ,   0.0052 ,     6.34
C_20240704_091356_W_52150386.VIS.bin_01_01_  ,    1.980 ,  -0.0218 ,   0.0080 ,    20.97
C_20240704_093142_W_52150408.VIS.bin_01_01_  ,    1.971 ,  -0.0179 ,   0.0070 ,    20.43
C_20240704_095212_W_52150482.VIS.bin_01_01_  ,    1.959 ,  -0.0151 ,   0.0068 ,    18.58
C_20240704_095212_W_52150482.VIS.bin_02_01_  ,    1.969 ,  -0.0276 ,   0.0063 ,     7.81
C_20240704_100958_W_52150502.VIS.bin_01_01_  ,    1.964 ,  -0.0176 ,   0.0036 ,    14.08
C_20240704_100958_W_52150502.VIS.bin_02_01_  ,    1.942 ,  -0.0192 ,  -0.0008 ,     6.34
C_20240704_102744_W_52150584.VIS.bin_01_01_  ,    1.967 ,  -0.0205 ,   0.0037 ,    11.45
C_20240704_104530_W_52150600.VIS.bin_01_01_  ,    1.974 ,  -0.0235 ,   0.0050 ,    11.69
C_20240704_110604_W_52150682.VIS.bin_01_01_  ,    1.971 ,  -0.0186 ,   0.0071 ,    19.47
C_20240704_110604_W_52150682.VIS.bin_02_01_  ,    1.951 ,  -0.0180 ,   0.0033 ,     8.01
C_20240704_112350_W_52150702.VIS.bin_01_01_  ,    1.969 ,  -0.0196 ,   0.0044 ,    13.93
C_20240704_112350_W_52150702.VIS.bin_02_01_  ,    1.958 ,  -0.0207 ,   0.0020 ,     7.56
C_20240704_114136_W_52150786.VIS.bin_01_01_  ,    1.980 ,  -0.0198 ,   0.0066 ,    21.66
C_20240704_115922_W_52150800.VIS.bin_01_01_  ,    1.977 ,  -0.0210 ,   0.0069 ,    18.62
C_20240704_122020_W_52150882.VIS.bin_01_01_  ,    1.970 ,  -0.0155 ,   0.0052 ,    21.82
C_20240704_122020_W_52150882.VIS.bin_02_01_  ,    1.975 ,  -0.0261 ,   0.0011 ,     9.04
C_20240704_123806_W_52150902.VIS.bin_01_01_  ,    1.971 ,  -0.0215 ,   0.0028 ,    11.79
C_20240704_123806_W_52150902.VIS.bin_02_01_  ,    1.994 ,  -0.0264 ,   0.0093 ,    25.04
C_20240704_125552_W_52150984.VIS.bin_01_01_  ,    1.991 ,  -0.0271 ,   0.0049 ,    15.44
C_20240704_131338_W_52150A08.VIS.bin_01_01_  ,    1.963 ,  -0.0178 ,   0.0065 ,    15.83
C_20240704_133409_W_52150A82.VIS.bin_01_01_  ,    1.967 ,  -0.0188 ,   0.0030 ,    13.61
C_20240704_133409_W_52150A82.VIS.bin_02_01_  ,    1.985 ,  -0.0319 ,   0.0047 ,     8.88
C_20240704_135155_W_52150B02.VIS.bin_01_01_  ,    1.971 ,  -0.0212 ,   0.0047 ,    12.90
C_20240704_135155_W_52150B02.VIS.bin_02_01_  ,    1.941 ,  -0.0202 ,   0.0030 ,     3.00
C_20240704_140941_W_52150B86.VIS.bin_01_01_  ,    1.982 ,  -0.0232 ,   0.0030 ,    14.87
C_20240704_142727_W_52150C00.VIS.bin_01_01_  ,    1.978 ,  -0.0254 ,   0.0101 ,    20.58
C_20240704_144805_W_52150C82.VIS.bin_01_01_  ,    1.978 ,  -0.0206 ,   0.0052 ,    17.63
C_20240704_144805_W_52150C82.VIS.bin_02_01_  ,    1.980 ,  -0.0196 ,   0.0090 ,    26.55
C_20240704_150551_W_52150D02.VIS.bin_01_01_  ,    1.976 ,  -0.0182 ,   0.0081 ,    24.68
C_20240704_150551_W_52150D02.VIS.bin_02_01_  ,    1.955 ,  -0.0175 ,  -0.0015 ,    13.46
C_20240704_152337_W_52150D84.VIS.bin_01_01_  ,    1.974 ,  -0.0191 ,   0.0055 ,    18.12
C_20240704_154123_W_52150E00.VIS.bin_01_01_  ,    1.975 ,  -0.0217 ,   0.0086 ,    19.85
C_20240704_160228_W_52150E82.VIS.bin_01_01_  ,    1.978 ,  -0.0172 ,   0.0052 ,    23.40
C_20240704_160228_W_52150E82.VIS.bin_02_01_  ,    1.949 ,  -0.0174 ,   0.0031 ,     7.98
C_20240704_162014_W_52150F02.VIS.bin_01_01_  ,    1.998 ,  -0.0243 ,   0.0077 ,    26.92
C_20240704_162014_W_52150F02.VIS.bin_02_01_  ,    1.983 ,  -0.0329 ,  -0.0023 ,    11.86
C_20240704_163800_W_52150F86.VIS.bin_01_01_  ,    1.985 ,  -0.0200 ,   0.0076 ,    25.90
C_20240704_165546_W_52151008.VIS.bin_01_01_  ,    1.974 ,  -0.0156 ,   0.0057 ,    24.53
C_20240704_171624_W_52151082.VIS.bin_01_01_  ,    1.984 ,  -0.0196 ,   0.0068 ,    24.65
C_20240704_171624_W_52151082.VIS.bin_02_01_  ,    1.987 ,  -0.0236 ,   0.0023 ,    16.97
C_20240704_173410_W_52151102.VIS.bin_01_01_  ,    1.977 ,  -0.0197 ,   0.0072 ,    21.09
C_20240704_173410_W_52151102.VIS.bin_02_01_  ,    1.967 ,  -0.0220 ,   0.0061 ,    11.60
C_20240704_175156_W_52151184.VIS.bin_01_01_  ,    1.975 ,  -0.0164 ,   0.0067 ,    24.90
C_20240704_180942_W_52151200.VIS.bin_01_01_  ,    1.980 ,  -0.0224 ,   0.0065 ,    17.58
C_20240704_183021_W_52151282.VIS.bin_01_01_  ,    1.967 ,  -0.0206 ,   0.0052 ,    12.29
C_20240704_183021_W_52151282.VIS.bin_02_01_  ,    1.967 ,  -0.0181 ,   0.0016 ,    14.88
C_20240704_184807_W_52151302.VIS.bin_01_01_  ,    1.974 ,  -0.0166 ,   0.0071 ,    24.55
C_20240704_184807_W_52151302.VIS.bin_02_01_  ,    1.990 ,  -0.0210 ,   0.0050 ,    23.77
C_20240704_190553_W_52151386.VIS.bin_01_01_  ,    1.980 ,  -0.0190 ,   0.0057 ,    21.86
C_20240704_192339_W_52151408.VIS.bin_01_01_  ,    1.975 ,  -0.0176 ,   0.0021 ,    19.83
C_20240704_194418_W_52151482.VIS.bin_01_01_  ,    1.971 ,  -0.0190 ,   0.0068 ,    18.38
C_20240704_194418_W_52151482.VIS.bin_02_01_  ,    1.963 ,  -0.0179 ,  -0.0015 ,    16.38
C_20240704_200204_W_52151502.VIS.bin_01_01_  ,    1.987 ,  -0.0219 ,   0.0057 ,    21.13
C_20240704_200204_W_52151502.VIS.bin_02_01_  ,    1.977 ,  -0.0217 ,   0.0001 ,    15.68
C_20240704_201950_W_52151584.VIS.bin_01_01_  ,    1.987 ,  -0.0235 ,   0.0076 ,    21.52
C_20240704_203736_W_52151600.VIS.bin_01_01_  ,    1.990 ,  -0.0230 ,   0.0040 ,    19.81
C_20240704_205819_W_52151682.VIS.bin_01_01_  ,    1.979 ,  -0.0225 ,   0.0059 ,    16.16
C_20240704_205819_W_52151682.VIS.bin_02_01_  ,    1.955 ,  -0.0204 ,  -0.0000 ,     8.12
C_20240704_211605_W_52151702.VIS.bin_01_01_  ,    1.985 ,  -0.0184 ,   0.0050 ,    25.35
C_20240704_211605_W_52151702.VIS.bin_02_01_  ,    1.977 ,  -0.0267 ,   0.0007 ,     9.56
C_20240704_213351_W_52151786.VIS.bin_01_01_  ,    2.031 ,  -0.0415 ,   0.0025 ,    22.75
C_20240704_215137_W_52151808.VIS.bin_01_01_  ,    1.982 ,  -0.0174 ,   0.0055 ,    25.82
C_20240704_221215_W_52151882.VIS.bin_01_01_  ,    1.982 ,  -0.0205 ,   0.0046 ,    19.50
C_20240704_221215_W_52151882.VIS.bin_02_01_  ,    1.978 ,  -0.0283 ,   0.0063 ,    10.29
C_20240704_223001_W_52151902.VIS.bin_01_01_  ,    1.985 ,  -0.0208 ,   0.0059 ,    21.98
C_20240704_223001_W_52151902.VIS.bin_02_01_  ,    1.965 ,  -0.0181 ,   0.0002 ,    14.88
C_20240704_224747_W_52151984.VIS.bin_01_01_  ,    1.982 ,  -0.0170 ,   0.0082 ,    30.78
C_20240704_230533_W_52151A00.VIS.bin_01_01_  ,    1.980 ,  -0.0199 ,   0.0055 ,    20.13
C_20240704_232611_W_52151A82.VIS.bin_01_01_  ,    1.971 ,  -0.0197 ,   0.0039 ,    14.49
C_20240704_232611_W_52151A82.VIS.bin_02_01_  ,    1.992 ,  -0.0277 ,   0.0009 ,    15.01
C_20240704_234357_W_52151B02.VIS.bin_01_01_  ,    1.974 ,  -0.0168 ,   0.0041 ,    20.96
C_20240704_234357_W_52151B02.VIS.bin_02_01_  ,    1.976 ,  -0.0245 ,   0.0048 ,    11.29
C_20240705_000143_W_52151B86.VIS.bin_01_01_  ,    1.991 ,  -0.0266 ,   0.0042 ,    15.54
C_20240705_001929_W_52151C00.VIS.bin_01_01_  ,    1.979 ,  -0.0192 ,   0.0054 ,    20.62
C_20240705_004007_W_52151C82.VIS.bin_01_01_  ,    1.983 ,  -0.0225 ,   0.0101 ,    26.52
C_20240705_004007_W_52151C82.VIS.bin_02_01_  ,    1.960 ,  -0.0225 ,   0.0043 ,     6.84
