image , R2 , e1 , e2 , score 
C_20240701_111707_W_52149208.VIS.bin_01_01_  ,    1.980 ,  -0.0217 ,   0.0050 ,    16.88
C_20240701_113745_W_52149282.VIS.bin_01_01_  ,    1.987 ,  -0.0239 ,   0.0075 ,    20.78
C_20240701_113745_W_52149282.VIS.bin_02_01_  ,    1.962 ,  -0.0244 ,   0.0045 ,     6.03
C_20240701_115531_W_52149302.VIS.bin_01_01_  ,    1.983 ,  -0.0260 ,   0.0053 ,    13.20
C_20240701_115531_W_52149302.VIS.bin_02_01_  ,    1.952 ,  -0.0157 ,   0.0017 ,    11.55
C_20240701_121317_W_52149386.VIS.bin_01_01_  ,    1.971 ,  -0.0176 ,   0.0048 ,    18.32
C_20240701_123103_W_52149400.VIS.bin_01_01_  ,    1.969 ,  -0.0182 ,   0.0044 ,    16.01
C_20240701_125141_W_52149482.VIS.bin_01_01_  ,    1.978 ,  -0.0184 ,   0.0043 ,    20.55
C_20240701_125141_W_52149482.VIS.bin_02_01_  ,    1.962 ,  -0.0182 ,  -0.0001 ,    13.64
C_20240701_130927_W_52149502.VIS.bin_01_01_  ,    1.986 ,  -0.0240 ,   0.0053 ,    17.08
C_20240701_130927_W_52149502.VIS.bin_02_01_  ,    1.960 ,  -0.0176 ,  -0.0009 ,    14.57
C_20240701_132713_W_52149584.VIS.bin_01_01_  ,    1.980 ,  -0.0206 ,   0.0051 ,    18.62
C_20240701_134459_W_52149600.VIS.bin_01_01_  ,    1.991 ,  -0.0235 ,   0.0084 ,    25.35
C_20240701_140537_W_52149682.VIS.bin_01_01_  ,    1.975 ,  -0.0171 ,   0.0080 ,    25.85
C_20240701_140537_W_52149682.VIS.bin_02_01_  ,    1.973 ,  -0.0150 ,   0.0013 ,    23.83
C_20240701_142323_W_52149702.VIS.bin_01_01_  ,    1.976 ,  -0.0197 ,   0.0046 ,    17.46
C_20240701_142323_W_52149702.VIS.bin_02_01_  ,    1.968 ,  -0.0214 ,   0.0003 ,    11.70
C_20240701_144109_W_52149786.VIS.bin_01_01_  ,    1.985 ,  -0.0223 ,   0.0072 ,    21.47
