#Reading 1073 moment catalogues...
#Found a total of 333175 Gaia/VIS stars for LONG_202407 with exposure time 560.52
  EXT   Fit    Not    RMSratio   C0           C1         C2        RAT0.75  RAT1.75  RAT2.75 
3-1.F   2018   2141   0.0215   -0.399567   0.415993  -0.066582    -0.1250   0.1245   0.2409
3-1.G   2162   2280   0.0213   -0.405291   0.408993  -0.064521    -0.1348   0.1129   0.2315
3-1.H   2233   2345   0.0216   -0.400499   0.410069  -0.064471    -0.1292   0.1197   0.2396
  3-2   8530   8994   0.0234   -0.406059   0.413814  -0.066004    -0.1328   0.1160   0.2328
3-2.E   2136   2253   0.0221   -0.407310   0.418853  -0.066965    -0.1308   0.1206   0.2381
3-2.F   2129   2253   0.0204   -0.398326   0.408887  -0.064379    -0.1279   0.1201   0.2392
3-2.G   2140   2268   0.0213   -0.415625   0.407392  -0.064695    -0.1465   0.0992   0.2154
3-2.H   2087   2220   0.0215   -0.399453   0.413573  -0.065768    -0.1263   0.1229   0.2405
  3-3   9102   9625   0.0219   -0.421173   0.408816  -0.064075    -0.1506   0.0980   0.2185
3-3.E   2165   2290   0.0212   -0.416730   0.414516  -0.065775    -0.1428   0.1072   0.2258
3-3.F   2306   2455   0.0216   -0.420260   0.404781  -0.062606    -0.1519   0.0964   0.2194
3-3.G   2342   2482   0.0214   -0.422450   0.405430  -0.063485    -0.1541   0.0926   0.2124
3-3.H   2265   2398   0.0209   -0.423119   0.408570  -0.063964    -0.1527   0.0960   0.2167
  3-4   9459   9854   0.0219   -0.420985   0.414110  -0.066139    -0.1476   0.1012   0.2176
3-4.E   2391   2489   0.0206   -0.409996   0.412584  -0.065914    -0.1376   0.1102   0.2261
3-4.F   2288   2408   0.0203   -0.439889   0.422214  -0.067961    -0.1615   0.0909   0.2072
3-4.G   2387   2495   0.0196   -0.422282   0.422791  -0.068143    -0.1435   0.1089   0.2251
3-4.H   2346   2462   0.0187   -0.420406   0.407177  -0.064623    -0.1514   0.0942   0.2106
  3-5   8946   9403   0.0189   -0.378921   0.409983  -0.066498    -0.1088   0.1349   0.2456
3-5.E   2175   2282   0.0180   -0.370907   0.406495  -0.066063    -0.1032   0.1381   0.2474
3-5.F   2279   2402   0.0195   -0.380459   0.411260  -0.066225    -0.1093   0.1364   0.2497
3-5.G   2243   2380   0.0179   -0.378913   0.411967  -0.066711    -0.1075   0.1377   0.2495
3-5.H   2236   2339   0.0182   -0.383866   0.407952  -0.066206    -0.1151   0.1273   0.2373
